Dates,12MTH_IMPVOL_100.0%MNY_DF.19,PX_LAST.19
1/3/2000,,3.9978
1/4/2000,,3.6607
1/5/2000,,3.7143
1/6/2000,,3.3929
1/7/2000,,3.5536
1/10/2000,,3.4911
1/11/2000,,3.3125
1/12/2000,,3.1138
1/13/2000,,3.4554
1/14/2000,,3.5871
1/17/2000,,3.5871
1/18/2000,,3.7121
1/19/2000,,3.8058
1/20/2000,,4.0536
1/21/2000,,3.9754
1/24/2000,,3.7946
1/25/2000,,4.0089
1/26/2000,,3.9353
1/27/2000,,3.9286
1/28/2000,,3.6295
1/31/2000,,3.7054
2/1/2000,,3.5804
2/2/2000,,3.529
2/3/2000,,3.6897
2/4/2000,,3.8571
2/7/2000,,4.0737
2/8/2000,,4.1027
2/9/2000,,4.0223
2/10/2000,,4.0536
2/11/2000,,3.8839
2/14/2000,,4.1362
2/15/2000,,4.25
2/16/2000,,4.0759
2/17/2000,,4.1027
2/18/2000,,3.9732
2/21/2000,,3.9732
2/22/2000,,4.0647
2/23/2000,,4.1518
2/24/2000,,4.1144
2/25/2000,,3.9419999999999997
2/28/2000,,4.0446
2/29/2000,,4.0938
3/1/2000,,4.654
3/2/2000,,4.3571
3/3/2000,,4.5714
3/6/2000,,4.4888
3/7/2000,,4.3884
3/8/2000,,4.3571
3/9/2000,,4.3661
3/10/2000,,4.4911
3/13/2000,,4.3326
3/14/2000,,4.0804
3/15/2000,,4.1518
3/16/2000,,4.3415
3/17/2000,,4.4643
3/20/2000,,4.3929
3/21/2000,,4.8192
3/22/2000,,5.1496
3/23/2000,,5.0469
3/24/2000,,4.9531
3/27/2000,,4.9844
3/28/2000,,4.9688
3/29/2000,,4.8549
3/30/2000,,4.4911
3/31/2000,,4.8504
4/3/2000,,4.7612
4/4/2000,,4.5469
4/5/2000,,4.6563
4/6/2000,,4.471
4/7/2000,,4.7054
4/10/2000,,4.4643
4/11/2000,,4.2656
4/12/2000,,3.9018
4/13/2000,,4.0647
4/14/2000,,3.9955
4/17/2000,,4.4241
4/18/2000,,4.5313
4/19/2000,,4.3259
4/20/2000,,4.2455
4/21/2000,,4.2455
4/24/2000,,4.3036
4/25/2000,,4.5826
4/26/2000,,4.3326
4/27/2000,,4.5268
4/28/2000,,4.4308
5/1/2000,,4.4397
5/2/2000,,4.2098
5/3/2000,,4.1094
5/4/2000,,3.9531
5/5/2000,,4.0402
5/8/2000,,3.9330000000000003
5/9/2000,,3.7656
5/10/2000,,3.5469
5/11/2000,,3.6719
5/12/2000,,3.8438
5/15/2000,,3.6071
5/16/2000,,3.7746
5/17/2000,,3.6205
5/18/2000,,3.5982
5/19/2000,,3.3571
5/22/2000,,3.2121
5/23/2000,,3.0647
5/24/2000,,3.1317
5/25/2000,,3.1166
5/26/2000,,3.0848
5/29/2000,,3.0848
5/30/2000,,3.1272
5/31/2000,,3.0
6/1/2000,,3.1830000000000003
6/2/2000,,3.3058
6/5/2000,,3.2612
6/6/2000,,3.3169999999999997
6/7/2000,,3.4487
6/8/2000,,3.3862
6/9/2000,,3.4196
6/12/2000,,3.2567
6/13/2000,,3.375
6/14/2000,,3.2299
6/15/2000,,3.2991
6/16/2000,,3.2567
6/19/2000,,3.4509
6/20/2000,,3.6161
6/21/2000,,3.9732
6/22/2000,,3.8393
6/23/2000,,3.6919999999999997
6/26/2000,,3.8661
6/27/2000,,3.6964
6/28/2000,,3.8884
6/29/2000,,3.6607
6/30/2000,,3.7411
7/3/2000,,3.8080000000000003
7/4/2000,,3.8080000000000003
7/5/2000,,3.6875
7/6/2000,,3.7009
7/7/2000,,3.8884
7/10/2000,,4.0804
7/11/2000,,4.067
7/12/2000,,4.2054
7/13/2000,,4.0357
7/14/2000,,4.1205
7/17/2000,,4.1652
7/18/2000,,4.0893
7/19/2000,,3.7634
7/20/2000,,3.9375
7/21/2000,,3.8259
7/24/2000,,3.4777
7/25/2000,,3.5759
7/26/2000,,3.5759
7/27/2000,,3.7143
7/28/2000,,3.4509
7/31/2000,,3.6295
8/1/2000,,3.5223
8/2/2000,,3.375
8/3/2000,,3.4286
8/4/2000,,3.3839
8/7/2000,,3.4241
8/8/2000,,3.3393
8/9/2000,,3.3929
8/10/2000,,3.3973
8/11/2000,,3.4063
8/14/2000,,3.3616
8/15/2000,,3.3348
8/16/2000,,3.4643
8/17/2000,,3.6741
8/18/2000,,3.5714
8/21/2000,,3.6071
8/22/2000,,3.6919999999999997
8/23/2000,,3.8795
8/24/2000,,4.0078
8/25/2000,,4.058
8/28/2000,,4.1473
8/29/2000,,4.2277
8/30/2000,,4.25
8/31/2000,,4.3527
9/1/2000,,4.5313
9/4/2000,,4.5313
9/5/2000,,4.4598
9/6/2000,,4.1741
9/7/2000,,4.4286
9/8/2000,,4.2054
9/11/2000,,4.1741
9/12/2000,,4.125
9/13/2000,,4.1429
9/14/2000,,4.0614
9/15/2000,,3.9453
9/18/2000,,4.3326
9/19/2000,,4.2813
9/20/2000,,4.3605
9/21/2000,,4.0491
9/22/2000,,3.7277
9/25/2000,,3.8214
9/26/2000,,3.6741
9/27/2000,,3.4955
9/28/2000,,3.8214
9/29/2000,,1.8393
10/2/2000,,1.7321
10/3/2000,,1.5938
10/4/2000,,1.6875
10/5/2000,,1.5759
10/6/2000,,1.5848
10/9/2000,,1.5536
10/10/2000,,1.4911
10/11/2000,,1.4018
10/12/2000,,1.4286
10/13/2000,,1.5759
10/16/2000,,1.5357
10/17/2000,,1.4375
