Dates,volat,price
1/3/2000,,14.7727
1/4/2000,,14.1234
1/5/2000,,14.5292
1/6/2000,,15.9091
1/7/2000,,15.855
1/10/2000,,15.2327
1/11/2000,,15.2868
1/12/2000,,15.2056
1/13/2000,,15.5303
1/14/2000,,15.395
1/17/2000,,15.395
1/18/2000,,16.829
1/19/2000,,16.7208
1/20/2000,,16.829
1/21/2000,,17.4242
1/24/2000,,16.9643
1/25/2000,,17.1537
1/26/2000,,16.9643
1/27/2000,,16.1797
1/28/2000,,16.0714
1/31/2000,,15.8009
2/1/2000,,16.4232
2/2/2000,,16.3961
2/3/2000,,16.4773
2/4/2000,,16.0173
2/7/2000,,16.5584
2/8/2000,,15.9903
2/9/2000,,15.1786
2/10/2000,,15.855
2/11/2000,,15.4762
2/14/2000,,16.342
2/15/2000,,17.316
2/16/2000,,17.3701
2/17/2000,,17.0455
2/18/2000,,16.1797
2/21/2000,,16.1797
2/22/2000,,15.8009
2/23/2000,,15.395
2/24/2000,,14.5022
2/25/2000,,14.1504
2/28/2000,,14.8268
2/29/2000,,15.8009
3/1/2000,,15.5303
3/2/2000,,16.3149
3/3/2000,,16.4502
3/6/2000,,16.9372
3/7/2000,,18.5877
3/8/2000,,18.3171
3/9/2000,,17.9654
3/10/2000,,17.6407
3/13/2000,,17.8301
3/14/2000,,17.8842
3/15/2000,,17.4242
3/16/2000,,18.3171
3/17/2000,,17.803
3/20/2000,,17.5325
3/21/2000,,17.9924
3/22/2000,,18.7229
3/23/2000,,18.4794
3/24/2000,,18.4794
3/27/2000,,18.4524
3/28/2000,,19.1829
3/29/2000,,20.671
3/30/2000,,21.4286
3/31/2000,,21.5368
4/3/2000,,21.158
4/4/2000,,20.6981
4/5/2000,,20.184
4/6/2000,,20.8604
4/7/2000,,21.1039
4/10/2000,,20.1028
4/11/2000,,20.9145
4/12/2000,,21.645
4/13/2000,,21.2933
4/14/2000,,20.8063
4/17/2000,,19.5887
4/18/2000,,20.1299
4/19/2000,,20.9957
4/20/2000,,20.4816
4/21/2000,,20.4816
4/24/2000,,21.2121
4/25/2000,,20.7251
4/26/2000,,20.8063
4/27/2000,,20.7251
4/28/2000,,20.9686
5/1/2000,,21.7803
5/2/2000,,21.9156
5/3/2000,,21.2662
5/4/2000,,23.0519
5/5/2000,,24.2424
5/8/2000,,24.7835
5/9/2000,,24.2424
5/10/2000,,24.2424
5/11/2000,,24.9729
5/12/2000,,25.8117
5/15/2000,,25.7576
5/16/2000,,24.9729
5/17/2000,,25.487
5/18/2000,,26.204
5/19/2000,,25.487
5/22/2000,,25.1353
5/23/2000,,24.4318
5/24/2000,,23.8095
5/25/2000,,24.1883
5/26/2000,,24.6077
5/29/2000,,24.6077
5/30/2000,,24.8241
5/31/2000,,26.3393
6/1/2000,,25.9199
6/2/2000,,24.2424
6/5/2000,,23.7554
6/6/2000,,24.4318
6/7/2000,,23.9448
6/8/2000,,24.3236
6/9/2000,,24.026
6/12/2000,,24.7565
6/13/2000,,24.5942
6/14/2000,,25.5141
6/15/2000,,24.7835
6/16/2000,,25.7153
6/19/2000,,24.6212
6/20/2000,,24.3506
6/21/2000,,25.3247
6/22/2000,,24.3777
6/23/2000,,25.0
6/26/2000,,24.8918
6/27/2000,,24.7024
6/28/2000,,25.2097
6/29/2000,,25.974
6/30/2000,,25.46
7/3/2000,,25.8387
7/4/2000,,25.8387
7/5/2000,,23.7554
7/6/2000,,23.1061
7/7/2000,,23.3496
7/10/2000,,23.0519
7/11/2000,,24.7835
7/12/2000,,24.2154
7/13/2000,,23.566
7/14/2000,,23.4578
7/17/2000,,22.9708
7/18/2000,,23.4578
7/19/2000,,23.0249
7/20/2000,,22.131999999999998
7/21/2000,,21.0768
7/24/2000,,20.671
7/25/2000,,20.4816
7/26/2000,,21.2392
7/27/2000,,21.6721
7/28/2000,,21.3203
7/31/2000,,21.5368
8/1/2000,,22.2403
8/2/2000,,22.8896
8/3/2000,,22.7543
8/4/2000,,23.1061
8/7/2000,,23.5457
8/8/2000,,23.8636
8/9/2000,,24.2424
8/10/2000,,24.5671
8/11/2000,,24.6753
8/14/2000,,25.7576
8/15/2000,,25.4058
8/16/2000,,25.6223
8/17/2000,,26.6775
8/18/2000,,26.0011
8/21/2000,,25.9199
8/22/2000,,26.0687
8/23/2000,,27.2051
8/24/2000,,26.434
8/25/2000,,26.8128
8/28/2000,,27.0157
8/29/2000,,27.638
8/30/2000,,27.2727
8/31/2000,,27.2727
9/1/2000,,27.7327
9/4/2000,,27.7327
9/5/2000,,28.1115
9/6/2000,,28.7338
9/7/2000,,28.6797
9/8/2000,,27.6786
9/11/2000,,28.5714
9/12/2000,,28.5714
9/13/2000,,27.7056
9/14/2000,,27.5433
9/15/2000,,28.355
9/18/2000,,27.9035
9/19/2000,,27.0563
9/20/2000,,27.1374
9/21/2000,,25.7576
9/22/2000,,25.5952
9/25/2000,,25.3247
9/26/2000,,25.7035
9/27/2000,,26.4069
9/28/2000,,25.6494
9/29/2000,,25.5952
10/2/2000,,26.0823
10/3/2000,,25.7576
10/4/2000,,24.6483
10/5/2000,,23.8095
10/6/2000,,23.6201
10/9/2000,,24.053
10/10/2000,,27.4892
10/11/2000,,28.4903
10/12/2000,,28.2738
10/13/2000,,27.0563
10/16/2000,,26.5152
10/17/2000,,27.4892
10/18/2000,,26.9751
10/19/2000,,26.4881
10/20/2000,,26.6234
10/23/2000,,25.9199
10/24/2000,,25.5411
10/25/2000,,24.2424
10/26/2000,,24.4589
10/27/2000,,23.3766
10/30/2000,,23.8095
10/31/2000,,23.9448
11/1/2000,,25.1082
11/2/2000,,24.3777
11/3/2000,,24.2154
11/6/2000,,23.9177
11/7/2000,,24.0801
11/8/2000,,24.2965
11/9/2000,,24.053
11/10/2000,,24.053
11/13/2000,,23.4848
11/14/2000,,23.8095
11/15/2000,,25.1082
11/16/2000,,25.6764
11/17/2000,,25.487
11/20/2000,,26.0552
11/21/2000,,26.8128
11/22/2000,,27.0292
11/23/2000,,27.0292
11/24/2000,,27.1645
11/27/2000,,27.2998
11/28/2000,,26.434
11/29/2000,,24.6753
11/30/2000,,22.619
12/1/2000,,23.8636
12/4/2000,,24.2154
12/5/2000,,23.2413
12/6/2000,,24.7835
12/7/2000,,25.1623
12/8/2000,,25.2706
12/11/2000,,26.5422
12/12/2000,,27.1374
12/13/2000,,26.7316
12/14/2000,,25.3247
12/15/2000,,25.5952
12/18/2000,,27.8409
12/19/2000,,27.7597
12/20/2000,,26.7857
12/21/2000,,27.0833
12/22/2000,,27.7597
12/25/2000,,27.7597
12/26/2000,,30.0595
12/27/2000,,31.0877
12/28/2000,,31.6829
12/29/2000,,30.3301
1/1/2001,,30.3301
1/2/2001,,30.6548
1/3/2001,,28.6255
1/4/2001,,27.2727
1/5/2001,,29.1667
1/8/2001,,29.4643
1/9/2001,,28.8149
1/10/2001,,28.7608
1/11/2001,,28.8149
1/12/2001,,28.1656
1/15/2001,,28.1656
1/16/2001,,28.1926
1/17/2001,,26.7857
1/18/2001,,25.8117
1/19/2001,,26.0552
1/22/2001,,26.5963
