Dates,volat,price
1/3/2000,,7.4311
1/4/2000,,6.734
1/5/2000,,7.1845
1/6/2000,,7.0957
1/7/2000,,7.0892
1/10/2000,,7.4837
1/11/2000,,7.3226
1/12/2000,,6.859
1/13/2000,,7.2503
1/14/2000,,7.0398
1/17/2000,,7.0398
1/18/2000,,7.3391
1/19/2000,,7.5627
1/20/2000,,8.1479
1/21/2000,,7.9178
1/24/2000,,7.1747
1/25/2000,,7.2338
1/26/2000,,8.0789
1/27/2000,,8.0986
1/28/2000,,7.7632
1/31/2000,,7.8948
2/1/2000,,7.9408
2/2/2000,,7.9441
2/3/2000,,8.6806
2/4/2000,,8.8417
2/7/2000,,8.9206
2/8/2000,,8.9305
2/9/2000,,8.628
2/10/2000,,8.5425
2/11/2000,,8.068999999999999
2/14/2000,,8.1085
2/15/2000,,7.8125
2/16/2000,,7.4015
2/17/2000,,7.6416
2/18/2000,,7.2207
2/21/2000,,7.2207
2/22/2000,,7.0760000000000005
2/23/2000,,8.1512
2/24/2000,,8.628
2/25/2000,,7.9342
2/28/2000,,7.6317
2/29/2000,,7.5429
3/1/2000,,7.852
3/2/2000,,7.898
3/3/2000,,7.8652
3/6/2000,,8.4998
3/7/2000,,8.5655
3/8/2000,,9.6802
3/9/2000,,9.6013
3/10/2000,,10.1668
3/13/2000,,11.0349
3/14/2000,,11.1007
3/15/2000,,9.9704
3/16/2000,,11.5478
3/17/2000,,11.5182
3/20/2000,,10.3181
3/21/2000,,11.2848
3/22/2000,,12.2383
3/23/2000,,11.7616
3/24/2000,,12.8236
3/27/2000,,12.6165
3/28/2000,,11.7747
3/29/2000,,10.4693
3/30/2000,,10.8968
3/31/2000,,9.2593
4/3/2000,,7.5363
4/4/2000,,8.7858
4/5/2000,,8.7299
4/6/2000,,9.575
4/7/2000,,9.5158
4/10/2000,,8.1907
4/11/2000,,8.1841
4/12/2000,,7.5429
4/13/2000,,7.3029
4/14/2000,,7.3423
4/17/2000,,7.5363
4/18/2000,,8.5721
4/19/2000,,7.9079
4/20/2000,,7.9046
4/21/2000,,7.9046
4/24/2000,,7.4639999999999995
4/25/2000,,8.0789
4/26/2000,,7.852
4/27/2000,,8.5195
4/28/2000,,8.3748
5/1/2000,,8.1874
5/2/2000,,7.5429
5/3/2000,,7.3654
5/4/2000,,7.2042
5/5/2000,,7.0497
5/8/2000,,6.7604
5/9/2000,,6.3756
5/10/2000,,5.8397
5/11/2000,,6.1948
5/12/2000,,6.3822
5/15/2000,,6.7077
5/16/2000,,7.0957
5/17/2000,,6.7406
5/18/2000,,6.5269
5/19/2000,,6.2178
5/22/2000,,7.1648
5/23/2000,,6.1027
5/24/2000,,6.836
5/25/2000,,6.3658
5/26/2000,,6.517
5/29/2000,,6.517
5/30/2000,,7.0514
5/31/2000,,6.5828
6/1/2000,,7.0892
6/2/2000,,8.1216
6/5/2000,,7.9375
6/6/2000,,7.5561
6/7/2000,,7.9572
6/8/2000,,7.5429
6/9/2000,,7.7008
6/12/2000,,7.03
6/13/2000,,7.1549
6/14/2000,,6.6025
6/15/2000,,6.7406
6/16/2000,,6.4315
6/19/2000,,6.3
6/20/2000,,6.5565
6/21/2000,,6.4973
6/22/2000,,6.1225
6/23/2000,,5.6687
6/26/2000,,5.5174
6/27/2000,,5.5174
6/28/2000,,5.4714
6/29/2000,,5.4385
6/30/2000,,5.7147
7/3/2000,,5.5569
7/4/2000,,5.5569
7/5/2000,,5.3202
7/6/2000,,5.3662
7/7/2000,,5.2347
7/10/2000,,5.0571
7/11/2000,,4.6231
7/12/2000,,5.5372
7/13/2000,,5.6227
7/14/2000,,6.4381
7/17/2000,,6.3329
7/18/2000,,6.0501
7/19/2000,,5.9844
7/20/2000,,6.4184
7/21/2000,,6.1816
7/24/2000,,5.8002
7/25/2000,,5.9186
7/26/2000,,5.5438
7/27/2000,,5.2281
7/28/2000,,4.9322
7/31/2000,,5.261
8/1/2000,,5.1097
8/2/2000,,5.1426
8/3/2000,,5.261
8/4/2000,,5.3399
8/7/2000,,5.261
8/8/2000,,5.2873
8/9/2000,,5.2544
8/10/2000,,5.1426
8/11/2000,,5.1031
8/14/2000,,5.0703
8/15/2000,,5.4583
8/16/2000,,6.0501
8/17/2000,,6.6354
8/18/2000,,5.7871
8/21/2000,,5.9054
8/22/2000,,5.9712
8/23/2000,,6.082999999999999
8/24/2000,,6.4578
8/25/2000,,6.5433
8/28/2000,,6.6223
8/29/2000,,6.4315
8/30/2000,,6.425
8/31/2000,,6.5236
9/1/2000,,6.6157
9/4/2000,,6.6157
9/5/2000,,7.1023
9/6/2000,,6.905
9/7/2000,,7.0102
9/8/2000,,6.9231
9/11/2000,,6.813
9/12/2000,,6.5433
9/13/2000,,6.5762
9/14/2000,,7.2010000000000005
9/15/2000,,7.0957
9/18/2000,,6.9511
9/19/2000,,6.9116
9/20/2000,,8.0559
9/21/2000,,7.4903
9/22/2000,,7.561
9/25/2000,,7.6153
9/26/2000,,7.4377
9/27/2000,,6.6814
9/28/2000,,7.2733
9/29/2000,,7.2273
10/2/2000,,7.0366
10/3/2000,,6.5236
10/4/2000,,6.7998
10/5/2000,,6.7209
10/6/2000,,6.254
10/9/2000,,6.4118
10/10/2000,,6.0962
10/11/2000,,5.5766
10/12/2000,,5.3793
10/13/2000,,5.8791
10/16/2000,,6.2737
10/17/2000,,5.5503
10/18/2000,,5.6161
10/19/2000,,6.0172
