Dates,volat,price
1/3/2000,,48.0626
1/4/2000,,46.1401
1/5/2000,,46.06
1/6/2000,,46.6758
1/7/2000,,48.4831
1/10/2000,,48.4631
1/11/2000,,48.5432
1/12/2000,,48.7034
1/13/2000,,49.2641
1/14/2000,,48.383
1/17/2000,,48.383
1/18/2000,,47.4217
1/19/2000,,47.652
1/20/2000,,46.7584
1/21/2000,,46.1801
1/24/2000,,44.2576
1/25/2000,,44.3778
1/26/2000,,45.318999999999996
1/27/2000,,45.4191
1/28/2000,,42.9359
1/31/2000,,42.9359
2/1/2000,,43.5767
2/2/2000,,42.9559
2/3/2000,,44.6181
2/4/2000,,45.3591
2/7/2000,,43.7369
2/8/2000,,43.9172
2/9/2000,,42.9559
2/10/2000,,43.3965
2/11/2000,,42.8558
2/14/2000,,43.0561
2/15/2000,,44.0574
2/16/2000,,43.4666
2/17/2000,,41.9746
2/18/2000,,40.0922
2/21/2000,,40.0922
2/22/2000,,41.5341
2/23/2000,,41.8144
2/24/2000,,41.9746
2/25/2000,,40.4126
2/28/2000,,41.474
2/29/2000,,42.4152
3/1/2000,,42.0948
3/2/2000,,43.3202
3/3/2000,,44.6581
3/6/2000,,44.0373
3/7/2000,,41.6342
3/8/2000,,41.7544
3/9/2000,,41.3338
3/10/2000,,42.1949
3/13/2000,,41.474
3/14/2000,,40.693000000000005
3/15/2000,,42.7957
3/16/2000,,44.538000000000004
3/17/2000,,44.8183
3/20/2000,,45.1588
3/21/2000,,48.2228
3/22/2000,,48.3429
3/23/2000,,51.2667
3/24/2000,,50.9664
3/27/2000,,50.6059
3/28/2000,,49.9851
3/29/2000,,52.228
3/30/2000,,50.8662
3/31/2000,,49.8649
4/3/2000,,51.5872
4/4/2000,,49.3442
4/5/2000,,49.123999999999995
4/6/2000,,50.2654
4/7/2000,,50.8862
4/10/2000,,51.0865
4/11/2000,,51.7874
4/12/2000,,50.2254
4/13/2000,,48.2228
4/14/2000,,46.7008
4/17/2000,,48.7034
4/18/2000,,50.1453
4/19/2000,,49.8249
4/20/2000,,50.7861
4/21/2000,,50.7861
4/24/2000,,51.9276
4/25/2000,,53.1892
4/26/2000,,52.3081
4/27/2000,,51.7474
4/28/2000,,50.3856
5/1/2000,,51.0665
5/2/2000,,51.6072
5/3/2000,,50.0051
5/4/2000,,49.3442
5/5/2000,,50.6259
5/8/2000,,50.4056
5/9/2000,,50.1052
5/10/2000,,48.6634
5/11/2000,,48.9637
5/12/2000,,50.2254
5/15/2000,,51.9076
5/16/2000,,52.1479
5/17/2000,,51.5471
5/18/2000,,51.0665
5/19/2000,,49.8649
