Dates,volat,price
1/3/2000,,88.31299999999999
1/4/2000,,82.75
1/5/2000,,78.875
1/6/2000,,82.25
1/7/2000,,82.56299999999999
1/10/2000,,84.375
1/11/2000,,84.81299999999999
1/12/2000,,84.375
1/13/2000,,84.5
1/14/2000,,85.625
1/17/2000,,85.625
1/18/2000,,86.875
1/19/2000,,87.56299999999999
1/20/2000,,85.93799999999999
1/21/2000,,85.68799999999999
1/24/2000,,81.75
1/25/2000,,83.875
1/26/2000,,88.25
1/27/2000,,89.0
1/28/2000,,87.0
1/31/2000,,91.625
2/1/2000,,91.25
2/2/2000,,91.125
2/3/2000,,85.375
2/4/2000,,84.68799999999999
2/7/2000,,85.75
2/8/2000,,89.43799999999999
2/9/2000,,86.75
2/10/2000,,86.625
2/11/2000,,85.125
2/14/2000,,86.5
2/15/2000,,86.5
2/16/2000,,82.93799999999999
2/17/2000,,82.125
2/18/2000,,80.813
2/21/2000,,80.813
2/22/2000,,81.563
2/23/2000,,85.75
2/24/2000,,89.625
2/25/2000,,89.25
2/28/2000,,88.0
2/29/2000,,92.5
3/1/2000,,94.75
3/2/2000,,96.25
3/3/2000,,102.5
3/6/2000,,103.68799999999999
3/7/2000,,104.875
3/8/2000,,101.75
3/9/2000,,107.18799999999999
3/10/2000,,112.25
3/13/2000,,110.375
3/14/2000,,104.75
3/15/2000,,103.56299999999999
3/16/2000,,103.31299999999999
3/17/2000,,116.5
3/20/2000,,113.43799999999999
3/21/2000,,118.25
3/22/2000,,117.148
3/23/2000,,119.0
3/24/2000,,121.31299999999999
3/27/2000,,112.0
3/28/2000,,113.25
3/29/2000,,114.18799999999999
3/30/2000,,106.875
3/31/2000,,105.25
4/3/2000,,105.5
4/4/2000,,98.25
4/5/2000,,97.43799999999999
4/6/2000,,106.0
4/7/2000,,102.5
4/10/2000,,107.06299999999999
4/11/2000,,104.81299999999999
4/12/2000,,96.56299999999999
4/13/2000,,95.25
4/14/2000,,82.75
4/17/2000,,87.5
4/18/2000,,93.75
4/19/2000,,92.06299999999999
4/20/2000,,88.81299999999999
4/21/2000,,88.81299999999999
4/24/2000,,86.875
4/25/2000,,97.06299999999999
4/26/2000,,94.5
4/27/2000,,95.18799999999999
4/28/2000,,93.25
5/1/2000,,97.0
5/2/2000,,93.0
5/3/2000,,91.125
5/4/2000,,90.18799999999999
5/5/2000,,89.875
5/8/2000,,87.31299999999999
5/9/2000,,85.625
5/10/2000,,81.438
5/11/2000,,80.875
5/12/2000,,83.773
5/15/2000,,87.06299999999999
5/16/2000,,85.5
5/17/2000,,84.68799999999999
5/18/2000,,85.25
5/19/2000,,84.56299999999999
5/22/2000,,82.0
5/23/2000,,82.81299999999999
5/24/2000,,80.0
5/25/2000,,73.0
5/26/2000,,69.813
5/29/2000,,69.813
5/30/2000,,72.0
5/31/2000,,73.563
6/1/2000,,76.375
6/2/2000,,86.875
6/5/2000,,84.5
6/6/2000,,83.125
6/7/2000,,86.68799999999999
6/8/2000,,85.06299999999999
6/9/2000,,83.25
6/12/2000,,83.31299999999999
6/13/2000,,85.125
6/14/2000,,89.93799999999999
6/15/2000,,90.25
6/16/2000,,89.93799999999999
6/19/2000,,91.625
6/20/2000,,89.0
6/21/2000,,86.625
6/22/2000,,84.25
6/23/2000,,86.0
6/26/2000,,87.75
6/27/2000,,88.31299999999999
6/28/2000,,89.875
6/29/2000,,92.625
6/30/2000,,94.773
7/3/2000,,94.93799999999999
7/4/2000,,94.93799999999999
7/5/2000,,95.93799999999999
7/6/2000,,93.18799999999999
7/7/2000,,94.93799999999999
