Dates,12MTH_IMPVOL_100.0%MNY_DF.12,PX_LAST.12
1/3/2000,,116.0
1/4/2000,,112.0625
1/5/2000,,116.0
1/6/2000,,114.0
1/7/2000,,113.5
1/10/2000,,118.0
1/11/2000,,119.0
1/12/2000,,119.5
1/13/2000,,118.25
1/14/2000,,119.625
1/17/2000,,119.625
1/18/2000,,115.75
1/19/2000,,119.5
1/20/2000,,119.0
1/21/2000,,121.5
1/24/2000,,121.5
1/25/2000,,119.125
1/26/2000,,116.75
1/27/2000,,113.5
1/28/2000,,111.5625
1/31/2000,,112.25
2/1/2000,,110.0
2/2/2000,,113.5
2/3/2000,,117.125
2/4/2000,,115.625
2/7/2000,,114.125
2/8/2000,,118.8125
2/9/2000,,117.375
2/10/2000,,119.125
2/11/2000,,115.375
2/14/2000,,116.0625
2/15/2000,,117.125
2/16/2000,,115.75
2/17/2000,,116.75
2/18/2000,,112.5
2/21/2000,,112.5
2/22/2000,,111.0
2/23/2000,,108.75
2/24/2000,,110.5
2/25/2000,,108.0
2/28/2000,,104.5
2/29/2000,,102.75
3/1/2000,,100.25
3/2/2000,,103.125
3/3/2000,,108.0
3/6/2000,,103.0625
3/7/2000,,102.75
3/8/2000,,106.25
3/9/2000,,108.0
3/10/2000,,105.25
3/13/2000,,107.6875
3/14/2000,,108.625
3/15/2000,,107.0
3/16/2000,,109.0
3/17/2000,,110.0
3/20/2000,,112.75
3/21/2000,,113.5
3/22/2000,,114.25
3/23/2000,,115.25
3/24/2000,,120.625
3/27/2000,,126.875
3/28/2000,,122.5
3/29/2000,,119.0
3/30/2000,,122.75
3/31/2000,,118.375
4/3/2000,,122.0
4/4/2000,,121.1875
4/5/2000,,125.0
4/6/2000,,122.75
4/7/2000,,123.125
4/10/2000,,122.125
4/11/2000,,119.375
4/12/2000,,113.75
4/13/2000,,110.625
4/14/2000,,105.0
4/17/2000,,111.875
4/18/2000,,111.5
4/19/2000,,105.0
4/20/2000,,104.0
4/21/2000,,104.0
4/24/2000,,106.5
4/25/2000,,112.5
4/26/2000,,110.5
4/27/2000,,110.625
4/28/2000,,111.5
5/1/2000,,112.0
5/2/2000,,111.375
5/3/2000,,108.125
5/4/2000,,107.625
5/5/2000,,107.875
5/8/2000,,109.75
5/9/2000,,109.0
5/10/2000,,103.0
5/11/2000,,104.4375
5/12/2000,,104.4375
5/15/2000,,104.1875
5/16/2000,,109.0
5/17/2000,,107.875
5/18/2000,,106.0625
5/19/2000,,106.4375
5/22/2000,,109.25
5/23/2000,,107.375
5/24/2000,,109.625
5/25/2000,,106.5
5/26/2000,,106.9375
5/29/2000,,106.9375
5/30/2000,,110.9375
5/31/2000,,107.3125
6/1/2000,,106.0
6/2/2000,,108.8125
6/5/2000,,112.8125
6/6/2000,,112.375
6/7/2000,,121.0
6/8/2000,,119.75
6/9/2000,,119.6875
6/12/2000,,118.8359
6/13/2000,,119.3125
6/14/2000,,116.0
6/15/2000,,116.8125
6/16/2000,,113.25
6/19/2000,,120.375
6/20/2000,,116.375
6/21/2000,,114.5
6/22/2000,,111.8125
6/23/2000,,111.875
6/26/2000,,114.4063
6/27/2000,,109.75
6/28/2000,,113.7813
6/29/2000,,114.0
6/30/2000,,109.5625
7/3/2000,,109.5
7/4/2000,,109.5
7/5/2000,,105.0
7/6/2000,,101.25
7/7/2000,,105.0625
7/10/2000,,103.3125
7/11/2000,,102.0
7/12/2000,,104.625
7/13/2000,,104.0
7/14/2000,,103.9375
7/17/2000,,105.5
7/18/2000,,103.3125
7/19/2000,,108.75
7/20/2000,,117.25
7/21/2000,,114.75
7/24/2000,,112.5
7/25/2000,,112.0
7/26/2000,,109.875
7/27/2000,,110.3125
7/28/2000,,111.8125
7/31/2000,,112.25
8/1/2000,,110.5
8/2/2000,,114.25
8/3/2000,,116.0
8/4/2000,,115.875
8/7/2000,,116.3125
8/8/2000,,118.875
8/9/2000,,118.75
8/10/2000,,119.75
8/11/2000,,120.625
8/14/2000,,123.25
8/15/2000,,122.0
8/16/2000,,122.375
8/17/2000,,122.5
8/18/2000,,120.4375
8/21/2000,,121.4375
8/22/2000,,121.375
8/23/2000,,123.25
8/24/2000,,124.8125
8/25/2000,,129.0
8/28/2000,,131.5
8/29/2000,,132.875
8/30/2000,,130.3125
8/31/2000,,132.0156
9/1/2000,,133.625
9/4/2000,,133.625
9/5/2000,,131.1875
9/6/2000,,131.4375
9/7/2000,,133.3711
9/8/2000,,129.5
9/11/2000,,124.5
9/12/2000,,125.0
9/13/2000,,127.6875
9/14/2000,,126.875
9/15/2000,,125.0
9/18/2000,,123.25
9/19/2000,,124.9375
9/20/2000,,124.75
9/21/2000,,121.5
9/22/2000,,123.875
9/25/2000,,123.0
9/26/2000,,119.125
9/27/2000,,118.0
9/28/2000,,115.25
9/29/2000,,112.625
10/2/2000,,117.8125
10/3/2000,,110.5625
10/4/2000,,114.625
10/5/2000,,113.1875
10/6/2000,,116.0
10/9/2000,,117.9375
10/10/2000,,114.875
10/11/2000,,112.0
10/12/2000,,103.125
10/13/2000,,109.0625
10/16/2000,,111.125
10/17/2000,,113.0
10/18/2000,,95.4375
10/19/2000,,96.4375
10/20/2000,,94.75
10/23/2000,,92.875
10/24/2000,,91.4375
10/25/2000,,87.5625
10/26/2000,,92.75
10/27/2000,,93.6875
10/30/2000,,93.3125
10/31/2000,,98.5
11/1/2000,,98.5625
11/2/2000,,101.9375
11/3/2000,,100.125
11/6/2000,,100.3125
11/7/2000,,102.3125
11/8/2000,,100.0
11/9/2000,,99.4375
11/10/2000,,93.0
11/13/2000,,97.4375
11/14/2000,,99.5
11/15/2000,,99.375
11/16/2000,,98.25
11/17/2000,,101.9375
11/20/2000,,103.25
11/21/2000,,98.5
11/22/2000,,98.5
11/23/2000,,98.5
11/24/2000,,99.9375
11/27/2000,,98.4375
11/28/2000,,97.875
11/29/2000,,99.8125
11/30/2000,,93.5
12/1/2000,,95.625
12/4/2000,,98.375
12/5/2000,,103.375
12/6/2000,,96.75
12/7/2000,,95.375
12/8/2000,,97.0
12/11/2000,,95.0
12/12/2000,,93.875
12/13/2000,,91.25
12/14/2000,,92.4375
12/15/2000,,87.8125
12/18/2000,,90.5
12/19/2000,,90.125
12/20/2000,,86.0
12/21/2000,,81.5625
12/22/2000,,89.0
12/25/2000,,89.0
12/26/2000,,84.8125
12/27/2000,,84.6875
12/28/2000,,85.25
12/29/2000,,85.0
1/1/2001,,85.0
1/2/2001,,84.8125
1/3/2001,,94.625
1/4/2001,,93.1875
1/5/2001,,94.0
1/8/2001,,93.5625
1/9/2001,,92.5625
1/10/2001,,93.4375
1/11/2001,,93.6875
1/12/2001,,93.8125
1/15/2001,,93.8125
1/16/2001,,92.75
1/17/2001,,96.6875
1/18/2001,,108.3125
1/19/2001,,111.25
1/22/2001,,108.5625
1/23/2001,,109.0625
1/24/2001,,110.4375
1/25/2001,,110.75
1/26/2001,,114.1875
1/29/2001,,114.98
1/30/2001,,116.61
1/31/2001,,112.0
2/1/2001,,114.05
2/2/2001,,110.27
2/5/2001,,112.22
2/6/2001,,114.19
2/7/2001,,116.91
2/8/2001,,114.1
2/9/2001,,112.0
2/12/2001,,114.9
2/13/2001,,113.75
2/14/2001,,115.1
2/15/2001,,116.78
2/16/2001,,115.0
2/19/2001,,115.0
2/20/2001,,111.5
2/21/2001,,107.51
2/22/2001,,108.9
2/23/2001,,104.0
2/26/2001,,105.3
2/27/2001,,102.59
2/28/2001,,99.9
3/1/2001,,106.05
3/2/2001,,102.3
3/5/2001,,104.91
3/6/2001,,106.0
3/7/2001,,107.55
3/8/2001,,106.47
3/9/2001,,99.29
3/12/2001,,95.49
3/13/2001,,98.39
3/14/2001,,94.96
3/15/2001,,95.56
3/16/2001,,90.1
3/19/2001,,92.6
3/20/2001,,88.3
3/21/2001,,89.08
3/22/2001,,89.1
3/23/2001,,93.51
3/26/2001,,95.4
3/27/2001,,99.5
3/28/2001,,94.41
3/29/2001,,95.04
3/30/2001,,96.18
4/2/2001,,94.66
4/3/2001,,90.39
4/4/2001,,92.0
4/5/2001,,98.21
4/6/2001,,97.95
4/9/2001,,96.0
4/10/2001,,99.05
4/11/2001,,97.43
4/12/2001,,96.2
4/13/2001,,96.2
4/16/2001,,96.75
4/17/2001,,99.7
4/18/2001,,106.5
4/19/2001,,114.47
4/20/2001,,114.83
4/23/2001,,112.0
4/24/2001,,112.67
4/25/2001,,114.85
4/26/2001,,113.74
4/27/2001,,116.2
4/30/2001,,115.14
5/1/2001,,118.51
5/2/2001,,115.4
5/3/2001,,113.7
5/4/2001,,115.86
5/7/2001,,115.9
5/8/2001,,117.7
5/9/2001,,116.98
5/10/2001,,115.2
5/11/2001,,111.81
5/14/2001,,112.56
5/15/2001,,113.58
5/16/2001,,115.8
5/17/2001,,115.07
5/18/2001,,117.44
5/21/2001,,119.04
5/22/2001,,118.01
5/23/2001,,117.4
5/24/2001,,119.6
5/25/2001,,117.8
5/28/2001,,117.8
5/29/2001,,115.27
5/30/2001,,112.65
5/31/2001,,111.8
6/1/2001,,112.89
6/4/2001,,113.64
6/5/2001,,116.97
6/6/2001,,117.5
6/7/2001,,117.25
6/8/2001,,116.1
6/11/2001,,117.36
6/12/2001,,117.25
6/13/2001,,116.54
6/14/2001,,115.75
6/15/2001,,113.6
6/18/2001,,114.27
6/19/2001,,114.84
6/20/2001,,113.09
6/21/2001,,112.6
6/22/2001,,112.87
6/25/2001,,112.65
6/26/2001,,113.04
6/27/2001,,113.52
6/28/2001,,115.1
6/29/2001,,113.0
7/2/2001,,114.35
7/3/2001,,112.98
7/4/2001,,112.98
7/5/2001,,112.1
7/6/2001,,106.5
7/9/2001,,104.72
7/10/2001,,101.96
7/11/2001,,103.85
7/12/2001,,107.25
7/13/2001,,108.53
7/16/2001,,107.82
7/17/2001,,108.53
7/18/2001,,104.28
7/19/2001,,104.0
7/20/2001,,105.7
7/23/2001,,105.85
7/24/2001,,104.51
7/25/2001,,104.89
7/26/2001,,106.0
7/27/2001,,104.7
7/30/2001,,105.85
7/31/2001,,105.21
8/1/2001,,107.06
8/2/2001,,108.8
8/3/2001,,108.18
8/6/2001,,106.51
8/7/2001,,106.25
8/8/2001,,104.19
8/9/2001,,104.08
8/10/2001,,104.95
8/13/2001,,105.86
8/14/2001,,106.2
8/15/2001,,105.01
8/16/2001,,105.75
8/17/2001,,104.59
8/20/2001,,104.1
8/21/2001,,101.89
8/22/2001,,103.96
8/23/2001,,103.0
8/24/2001,,106.99
8/27/2001,,106.86
8/28/2001,,104.95
8/29/2001,,104.13
8/30/2001,,100.36
8/31/2001,,99.95
9/3/2001,,99.95
9/4/2001,,101.49
9/5/2001,,100.35
9/6/2001,,98.0
9/7/2001,,96.59
9/10/2001,,96.47
9/11/2001,,96.47
9/12/2001,,96.47
9/13/2001,,96.47
9/14/2001,,96.47
9/17/2001,,93.34
9/18/2001,,96.4
9/19/2001,,96.0
9/20/2001,,93.4
9/21/2001,,90.5
9/24/2001,,94.8
9/25/2001,,94.45
9/26/2001,,91.3
9/27/2001,,90.0
9/28/2001,,91.72
10/1/2001,,92.71
10/2/2001,,93.77
10/3/2001,,96.95
10/4/2001,,97.31
10/5/2001,,98.02
10/8/2001,,98.5
10/9/2001,,97.14
10/10/2001,,97.25
10/11/2001,,99.4
10/12/2001,,100.84
10/15/2001,,102.0
10/16/2001,,101.85
10/17/2001,,102.9
10/18/2001,,101.26
10/19/2001,,102.65
10/22/2001,,105.25
10/23/2001,,105.81
10/24/2001,,108.57
10/25/2001,,110.66
10/26/2001,,111.16
10/29/2001,,108.62
10/30/2001,,108.65
10/31/2001,,108.07
11/1/2001,,109.89
11/2/2001,,109.5
11/5/2001,,109.97
11/6/2001,,114.19
11/7/2001,,113.85
11/8/2001,,113.81
11/9/2001,,114.08
11/12/2001,,114.86
11/13/2001,,116.7
11/14/2001,,114.35
11/15/2001,,114.75
11/16/2001,,114.5
11/19/2001,,115.0
11/20/2001,,115.44
11/21/2001,,114.34
11/22/2001,,114.34
11/23/2001,,115.35
11/26/2001,,116.33
11/27/2001,,114.2
11/28/2001,,112.15
11/29/2001,,114.43
11/30/2001,,115.59
12/3/2001,,114.13
12/4/2001,,116.64
12/5/2001,,121.4
12/6/2001,,120.14
12/7/2001,,120.4
12/10/2001,,119.66
12/11/2001,,121.5
12/12/2001,,123.2
12/13/2001,,120.25
12/14/2001,,121.1
12/17/2001,,121.34
12/18/2001,,122.2
12/19/2001,,123.89
12/20/2001,,122.7
12/21/2001,,122.0
12/24/2001,,121.45
12/25/2001,,121.45
12/26/2001,,122.4
12/27/2001,,123.5
12/28/2001,,122.9
12/31/2001,,120.96
1/1/2002,,120.96
1/2/2002,,121.5
1/3/2002,,123.66
1/4/2002,,125.6
1/7/2002,,124.05
1/8/2002,,124.7
1/9/2002,,124.49
1/10/2002,,122.14
1/11/2002,,120.31
1/14/2002,,118.05
1/15/2002,,118.85
1/16/2002,,117.4
1/17/2002,,119.9
1/18/2002,,114.25
1/21/2002,,114.25
1/22/2002,,110.5
1/23/2002,,107.9
1/24/2002,,108.72
1/25/2002,,109.28
1/28/2002,,108.15
1/29/2002,,103.0
1/30/2002,,105.55
1/31/2002,,107.89
2/1/2002,,108.0
2/4/2002,,106.8
2/5/2002,,106.3
2/6/2002,,106.63
2/7/2002,,103.91
2/8/2002,,104.99
2/11/2002,,107.38
2/12/2002,,106.57
2/13/2002,,108.07
2/14/2002,,107.89
2/15/2002,,102.89
2/18/2002,,102.89
2/19/2002,,99.54
2/20/2002,,99.31
2/21/2002,,96.38
2/22/2002,,98.45
2/25/2002,,98.3
2/26/2002,,97.15
2/27/2002,,97.83
2/28/2002,,98.12
3/1/2002,,103.02
3/4/2002,,105.9
3/5/2002,,105.67
3/6/2002,,106.3
3/7/2002,,103.71
3/8/2002,,105.09
3/11/2002,,105.24
3/12/2002,,108.5
3/13/2002,,107.18
3/14/2002,,106.6
3/15/2002,,106.79
3/18/2002,,106.35
3/19/2002,,107.49
3/20/2002,,105.5
3/21/2002,,106.78
3/22/2002,,105.6
3/25/2002,,103.56
3/26/2002,,102.9
3/27/2002,,103.39
3/28/2002,,104.0
3/29/2002,,104.0
4/1/2002,,102.86
4/2/2002,,100.95
4/3/2002,,99.96
4/4/2002,,100.84
4/5/2002,,97.25
4/8/2002,,87.41
4/9/2002,,87.74
4/10/2002,,89.01
4/11/2002,,84.19
4/12/2002,,85.6
4/15/2002,,85.35
4/16/2002,,86.2
4/17/2002,,84.81
4/18/2002,,88.95
4/19/2002,,89.0
4/22/2002,,87.93
4/23/2002,,87.33
4/24/2002,,86.5
4/25/2002,,86.71
4/26/2002,,84.71
4/29/2002,,83.89
4/30/2002,,83.76
5/1/2002,,84.3
5/2/2002,,83.86
5/3/2002,,81.78
5/6/2002,,76.0
5/7/2002,,76.5
5/8/2002,,82.45
5/9/2002,,79.93
5/10/2002,,79.68
5/13/2002,,82.19
5/14/2002,,85.48
5/15/2002,,84.5
5/16/2002,,85.45
5/17/2002,,85.69
5/20/2002,,84.45
5/21/2002,,83.45
5/22/2002,,84.0
5/23/2002,,84.35
5/24/2002,,83.1
5/27/2002,,83.1
5/28/2002,,82.08
5/29/2002,,81.6
5/30/2002,,82.25
5/31/2002,,80.45
6/3/2002,,78.11
6/4/2002,,79.31
6/5/2002,,80.55
6/6/2002,,79.66
6/7/2002,,78.3
6/10/2002,,76.8
6/11/2002,,75.49
6/12/2002,,74.65
6/13/2002,,75.6
6/14/2002,,76.17
6/17/2002,,77.14
6/18/2002,,75.94
6/19/2002,,73.35
6/20/2002,,71.58
6/21/2002,,68.75
6/24/2002,,69.7
6/25/2002,,68.6
6/26/2002,,70.05
6/27/2002,,71.9
6/28/2002,,72.0
7/1/2002,,67.6
7/2/2002,,68.58
7/3/2002,,70.51
7/4/2002,,70.51
7/5/2002,,73.5
7/8/2002,,71.3
7/9/2002,,69.67
7/10/2002,,68.76
7/11/2002,,69.41
7/12/2002,,69.21
7/15/2002,,71.0
7/16/2002,,69.01
7/17/2002,,70.69
7/18/2002,,72.05
7/19/2002,,72.0
7/22/2002,,68.5
7/23/2002,,67.05
7/24/2002,,69.54
7/25/2002,,69.35
7/26/2002,,66.4
7/29/2002,,71.18
7/30/2002,,71.79
7/31/2002,,70.4
8/1/2002,,68.25
8/2/2002,,67.88
8/5/2002,,65.99
8/6/2002,,67.9
8/7/2002,,69.17
8/8/2002,,71.61
8/9/2002,,71.83
8/12/2002,,71.77
8/13/2002,,71.9
8/14/2002,,74.92
8/15/2002,,76.5
8/16/2002,,79.35
8/19/2002,,82.49
8/20/2002,,81.27
8/21/2002,,81.0
8/22/2002,,81.99
8/23/2002,,80.4
8/26/2002,,79.42
8/27/2002,,77.96
8/28/2002,,76.06
8/29/2002,,76.62
8/30/2002,,75.38
9/2/2002,,75.38
9/3/2002,,72.35
9/4/2002,,73.73
9/5/2002,,72.18
9/6/2002,,73.2
9/9/2002,,74.5
9/10/2002,,75.6
9/11/2002,,74.2
9/12/2002,,71.87
9/13/2002,,72.5
9/16/2002,,72.32
9/17/2002,,71.75
9/18/2002,,69.55
9/19/2002,,64.8
9/20/2002,,63.92
9/23/2002,,63.37
9/24/2002,,59.75
9/25/2002,,63.01
9/26/2002,,62.02
9/27/2002,,60.36
