Dates,volat,price
1/3/2000,,48.5833
1/4/2000,,47.25
1/5/2000,,46.9583
1/6/2000,,47.625
1/7/2000,,48.5
1/10/2000,,47.6667
1/11/2000,,46.5417
1/12/2000,,46.8333
1/13/2000,,47.5417
1/14/2000,,49.25
1/17/2000,,49.25
1/18/2000,,47.3333
1/19/2000,,49.4167
1/20/2000,,48.6667
1/21/2000,,48.625
1/24/2000,,48.6667
1/25/2000,,49.75
1/26/2000,,52.2917
1/27/2000,,53.7917
1/28/2000,,51.125
1/31/2000,,53.7917
2/1/2000,,55.8333
2/2/2000,,54.9167
2/3/2000,,55.4583
2/4/2000,,54.5
2/7/2000,,54.7917
2/8/2000,,56.7083
2/9/2000,,55.25
2/10/2000,,55.4167
2/11/2000,,55.0833
2/14/2000,,52.7083
2/15/2000,,54.0417
2/16/2000,,53.0
2/17/2000,,52.25
2/18/2000,,49.8333
2/21/2000,,49.8333
2/22/2000,,51.5
2/23/2000,,51.5833
2/24/2000,,50.6667
2/25/2000,,50.5833
2/28/2000,,51.9583
2/29/2000,,53.0833
3/1/2000,,54.6667
3/2/2000,,53.7083
3/3/2000,,54.0833
3/6/2000,,55.625
3/7/2000,,54.5417
3/8/2000,,52.6667
3/9/2000,,54.0833
3/10/2000,,52.4583
3/13/2000,,53.375
3/14/2000,,52.6667
3/15/2000,,55.4167
3/16/2000,,60.0833
3/17/2000,,60.6667
3/20/2000,,57.7083
3/21/2000,,61.3333
3/22/2000,,61.0417
3/23/2000,,65.6667
3/24/2000,,64.125
3/27/2000,,63.125
3/28/2000,,62.8333
3/29/2000,,60.25
3/30/2000,,58.0
3/31/2000,,58.125
4/3/2000,,61.6667
4/4/2000,,57.8333
4/5/2000,,57.5833
4/6/2000,,58.2917
4/7/2000,,57.5833
4/10/2000,,58.75
4/11/2000,,57.3333
4/12/2000,,57.875
4/13/2000,,56.3333
4/14/2000,,52.5833
4/17/2000,,52.4167
4/18/2000,,53.6667
4/19/2000,,52.0
4/20/2000,,51.5417
4/21/2000,,51.5417
4/24/2000,,49.8333
4/25/2000,,52.0417
4/26/2000,,50.9583
4/27/2000,,49.25
4/28/2000,,48.0833
5/1/2000,,49.1667
5/2/2000,,50.75
5/3/2000,,49.5
5/4/2000,,48.8333
5/5/2000,,48.125
5/8/2000,,48.0
5/9/2000,,47.25
5/10/2000,,45.8333
5/11/2000,,46.6667
5/12/2000,,47.75
5/15/2000,,49.75
5/16/2000,,49.5
5/17/2000,,49.3333
5/18/2000,,50.0833
5/19/2000,,48.3333
5/22/2000,,48.125
5/23/2000,,48.75
5/24/2000,,47.75
5/25/2000,,46.8333
5/26/2000,,47.0
5/29/2000,,47.0
5/30/2000,,49.0
5/31/2000,,49.7917
6/1/2000,,51.4167
6/2/2000,,53.7917
6/5/2000,,52.9167
6/6/2000,,51.3333
6/7/2000,,51.25
6/8/2000,,51.0
6/9/2000,,48.875
6/12/2000,,48.5859
6/13/2000,,48.1875
6/14/2000,,50.0625
6/15/2000,,48.8125
6/16/2000,,45.4375
6/19/2000,,46.875
6/20/2000,,47.9375
6/21/2000,,47.0
6/22/2000,,46.375
6/23/2000,,46.875
6/26/2000,,47.5625
6/27/2000,,47.9375
6/28/2000,,47.0391
6/29/2000,,47.625
6/30/2000,,46.0625
7/3/2000,,47.5625
7/4/2000,,47.5625
7/5/2000,,47.75
7/6/2000,,48.0
7/7/2000,,50.0625
7/10/2000,,49.75
7/11/2000,,50.6875
7/12/2000,,50.5625
7/13/2000,,50.75
7/14/2000,,52.5
7/17/2000,,52.0313
7/18/2000,,50.9375
7/19/2000,,50.6875
7/20/2000,,53.1875
7/21/2000,,52.7305
7/24/2000,,51.5625
7/25/2000,,51.25
7/26/2000,,49.375
7/27/2000,,49.875
7/28/2000,,48.375
7/31/2000,,49.8125
8/1/2000,,51.625
8/2/2000,,51.4375
8/3/2000,,50.25
8/4/2000,,52.4375
8/7/2000,,53.5625
8/8/2000,,53.5
8/9/2000,,52.3125
8/10/2000,,51.875
8/11/2000,,52.0
8/14/2000,,52.75
8/15/2000,,51.8125
8/16/2000,,50.375
8/17/2000,,50.6875
8/18/2000,,50.75
8/21/2000,,50.9375
8/22/2000,,52.75
8/23/2000,,54.3125
8/24/2000,,53.25
8/25/2000,,52.0625
8/28/2000,,52.6875
8/29/2000,,51.875
8/30/2000,,53.25
8/31/2000,,55.875
9/1/2000,,56.3125
9/4/2000,,56.3125
9/5/2000,,57.125
9/6/2000,,56.0
9/7/2000,,57.25
9/8/2000,,57.8125
9/11/2000,,57.5
9/12/2000,,52.8125
9/13/2000,,50.6875
9/14/2000,,50.0
9/15/2000,,49.125
9/18/2000,,46.5625
9/19/2000,,46.875
9/20/2000,,46.5
9/21/2000,,44.625
9/22/2000,,47.25
9/25/2000,,47.0
9/26/2000,,46.0625
9/27/2000,,45.5
9/28/2000,,46.875
9/29/2000,,46.1875
10/2/2000,,47.4375
10/3/2000,,46.75
10/4/2000,,45.5625
10/5/2000,,44.4375
10/6/2000,,42.875
10/9/2000,,42.0625
10/10/2000,,40.8125
10/11/2000,,40.6875
10/12/2000,,37.8125
10/13/2000,,39.6875
10/16/2000,,39.5625
10/17/2000,,37.9375
10/18/2000,,36.875
10/19/2000,,38.9375
10/20/2000,,38.375
10/23/2000,,38.375
10/24/2000,,40.0625
10/25/2000,,40.0
10/26/2000,,40.0
10/27/2000,,42.6875
10/30/2000,,43.75
10/31/2000,,45.5
11/1/2000,,45.6875
11/2/2000,,45.5
11/3/2000,,44.4375
11/6/2000,,45.5
11/7/2000,,44.9375
11/8/2000,,43.5625
11/9/2000,,44.125
11/10/2000,,42.8125
11/13/2000,,42.125
11/14/2000,,42.5625
11/15/2000,,40.75
11/16/2000,,40.875
11/17/2000,,39.625
11/20/2000,,38.5625
11/21/2000,,38.6875
11/22/2000,,37.4375
11/23/2000,,37.4375
11/24/2000,,39.125
11/27/2000,,39.375
11/28/2000,,38.0
11/29/2000,,37.9375
11/30/2000,,36.875
12/1/2000,,37.3125
12/4/2000,,37.9375
12/5/2000,,41.3125
12/6/2000,,40.0625
12/7/2000,,39.1875
12/8/2000,,40.0
12/11/2000,,42.5
12/12/2000,,43.0
12/13/2000,,44.5
12/14/2000,,42.875
12/15/2000,,43.9375
12/18/2000,,45.375
12/19/2000,,44.8125
12/20/2000,,43.5
12/21/2000,,45.1875
12/22/2000,,45.625
12/25/2000,,45.625
12/26/2000,,45.75
12/27/2000,,46.375
12/28/2000,,46.9375
12/29/2000,,45.4375
1/1/2001,,45.4375
1/2/2001,,44.0
1/3/2001,,50.625
1/4/2001,,52.0
1/5/2001,,48.9375
1/8/2001,,49.25
1/9/2001,,48.6875
1/10/2001,,50.9375
1/11/2001,,54.125
1/12/2001,,53.3125
1/15/2001,,53.3125
1/16/2001,,53.1875
1/17/2001,,53.0
1/18/2001,,51.4375
1/19/2001,,50.5625
1/22/2001,,50.875
1/23/2001,,51.6875
1/24/2001,,53.25
1/25/2001,,53.0625
1/26/2001,,54.1875
1/29/2001,,55.12
1/30/2001,,55.98
1/31/2001,,54.99
2/1/2001,,55.85
2/2/2001,,54.64
2/5/2001,,54.6
2/6/2001,,52.28
2/7/2001,,52.33
2/8/2001,,51.68
2/9/2001,,51.95
2/12/2001,,52.55
2/13/2001,,51.14
2/14/2001,,51.19
2/15/2001,,51.11
2/16/2001,,51.99
2/19/2001,,51.99
2/20/2001,,49.95
2/21/2001,,47.35
2/22/2001,,48.3
2/23/2001,,47.05
2/26/2001,,48.55
2/27/2001,,47.6
2/28/2001,,46.66
3/1/2001,,46.11
3/2/2001,,45.8
3/5/2001,,46.76
3/6/2001,,47.96
3/7/2001,,50.25
3/8/2001,,50.24
3/9/2001,,48.95
3/12/2001,,45.49
3/13/2001,,47.4
3/14/2001,,43.75
3/15/2001,,45.26
3/16/2001,,44.58
3/19/2001,,45.15
3/20/2001,,42.59
3/21/2001,,40.2
3/22/2001,,38.91
3/23/2001,,41.71
3/26/2001,,42.11
3/27/2001,,43.36
3/28/2001,,42.55
3/29/2001,,43.0
3/30/2001,,44.9
4/2/2001,,44.6
4/3/2001,,41.6
4/4/2001,,40.49
4/5/2001,,42.5
4/6/2001,,40.39
4/9/2001,,40.42
4/10/2001,,43.3
4/11/2001,,44.74
4/12/2001,,45.37
4/13/2001,,45.37
4/16/2001,,45.5
4/17/2001,,45.37
4/18/2001,,49.1
4/19/2001,,48.8
4/20/2001,,47.8
4/23/2001,,47.3
4/24/2001,,47.4
4/25/2001,,47.48
4/26/2001,,48.5
4/27/2001,,49.85
4/30/2001,,47.98
5/1/2001,,48.73
5/2/2001,,49.57
5/3/2001,,49.0
5/4/2001,,50.6
5/7/2001,,49.2
5/8/2001,,47.75
5/9/2001,,47.25
5/10/2001,,47.51
5/11/2001,,46.44
5/14/2001,,47.64
5/15/2001,,47.28
5/16/2001,,48.31
5/17/2001,,48.19
5/18/2001,,48.16
5/21/2001,,49.43
5/22/2001,,50.02
5/23/2001,,48.92
5/24/2001,,49.34
5/25/2001,,48.7
5/28/2001,,48.7
5/29/2001,,49.33
5/30/2001,,48.62
5/31/2001,,49.15
6/1/2001,,48.89
6/4/2001,,49.5
6/5/2001,,48.5
6/6/2001,,46.84
6/7/2001,,45.63
6/8/2001,,44.2
6/11/2001,,44.18
6/12/2001,,43.49
6/13/2001,,43.9
6/14/2001,,43.59
6/15/2001,,44.9
6/18/2001,,44.31
6/19/2001,,44.52
6/20/2001,,45.6
6/21/2001,,47.12
6/22/2001,,45.9
6/25/2001,,45.82
6/26/2001,,44.68
6/27/2001,,44.02
6/28/2001,,45.0
6/29/2001,,44.47
7/2/2001,,45.8
7/3/2001,,45.65
7/4/2001,,45.65
7/5/2001,,45.53
7/6/2001,,44.51
7/9/2001,,43.99
7/10/2001,,42.01
7/11/2001,,42.05
7/12/2001,,42.54
7/13/2001,,42.55
7/16/2001,,41.2
7/17/2001,,42.3
7/18/2001,,43.58
7/19/2001,,43.7
7/20/2001,,43.4
7/23/2001,,43.01
7/24/2001,,42.68
7/25/2001,,42.9
7/26/2001,,43.24
7/27/2001,,44.21
7/30/2001,,43.81
7/31/2001,,43.3
8/1/2001,,43.5
8/2/2001,,43.5
8/3/2001,,43.32
8/6/2001,,42.76
8/7/2001,,42.77
8/8/2001,,42.08
8/9/2001,,41.9
8/10/2001,,42.25
8/13/2001,,42.12
8/14/2001,,42.25
8/15/2001,,42.15
8/16/2001,,42.18
8/17/2001,,41.48
8/20/2001,,41.09
8/21/2001,,40.41
8/22/2001,,41.2
8/23/2001,,40.72
8/24/2001,,40.93
8/27/2001,,41.1
8/28/2001,,40.49
8/29/2001,,39.57
8/30/2001,,39.24
8/31/2001,,39.4
9/3/2001,,39.4
9/4/2001,,39.83
9/5/2001,,38.35
9/6/2001,,36.94
9/7/2001,,37.0
9/10/2001,,37.26
9/11/2001,,37.26
9/12/2001,,37.26
9/13/2001,,37.26
9/14/2001,,37.26
9/17/2001,,35.25
9/18/2001,,34.84
9/19/2001,,34.11
9/20/2001,,31.56
9/21/2001,,30.82
9/24/2001,,32.58
9/25/2001,,33.25
9/26/2001,,32.59
9/27/2001,,33.12
9/28/2001,,34.15
10/1/2001,,34.0
10/2/2001,,34.99
10/3/2001,,34.67
10/4/2001,,34.16
10/5/2001,,33.41
10/8/2001,,32.44
10/9/2001,,32.95
10/10/2001,,33.39
10/11/2001,,33.42
10/12/2001,,32.89
10/15/2001,,33.55
10/16/2001,,33.94
10/17/2001,,34.6
10/18/2001,,34.14
10/19/2001,,33.87
10/22/2001,,35.31
10/23/2001,,35.76
10/24/2001,,36.22
10/25/2001,,37.48
10/26/2001,,37.55
10/29/2001,,35.71
10/30/2001,,35.51
10/31/2001,,35.36
11/1/2001,,36.34
11/2/2001,,36.04
11/5/2001,,36.36
11/6/2001,,37.54
11/7/2001,,38.59
11/8/2001,,38.8
11/9/2001,,39.05
11/12/2001,,38.8
11/13/2001,,39.35
11/14/2001,,39.65
11/15/2001,,39.55
11/16/2001,,39.41
11/19/2001,,40.1
11/20/2001,,39.4
11/21/2001,,38.84
11/22/2001,,38.84
11/23/2001,,39.39
11/26/2001,,39.49
11/27/2001,,39.8
11/28/2001,,37.5
11/29/2001,,38.06
11/30/2001,,37.72
12/3/2001,,36.55
12/4/2001,,37.22
12/5/2001,,39.02
12/6/2001,,40.38
12/7/2001,,39.77
12/10/2001,,38.68
12/11/2001,,38.5
12/12/2001,,38.37
12/13/2001,,37.09
12/14/2001,,36.04
12/17/2001,,36.7
12/18/2001,,37.19
12/19/2001,,38.0
12/20/2001,,36.52
12/21/2001,,35.75
12/24/2001,,36.04
12/25/2001,,36.04
12/26/2001,,36.31
12/27/2001,,36.32
12/28/2001,,36.55
12/31/2001,,36.35
1/1/2002,,36.35
1/2/2002,,36.35
1/3/2002,,37.32
1/4/2002,,39.0
1/7/2002,,38.9
1/8/2002,,38.6
1/9/2002,,38.71
1/10/2002,,39.14
1/11/2002,,38.34
1/14/2002,,37.31
1/15/2002,,37.87
1/16/2002,,36.51
1/17/2002,,36.85
1/18/2002,,35.91
1/21/2002,,35.91
1/22/2002,,35.76
1/23/2002,,35.75
1/24/2002,,35.9
1/25/2002,,34.99
1/28/2002,,34.31
1/29/2002,,32.05
1/30/2002,,33.06
1/31/2002,,34.05
2/1/2002,,32.16
2/4/2002,,30.56
2/5/2002,,29.02
2/6/2002,,29.44
2/7/2002,,30.07
2/8/2002,,31.12
2/11/2002,,31.84
2/12/2002,,31.49
2/13/2002,,30.25
2/14/2002,,30.21
2/15/2002,,30.05
2/18/2002,,30.05
2/19/2002,,29.03
2/20/2002,,29.41
2/21/2002,,29.14
2/22/2002,,28.19
2/25/2002,,29.0
2/26/2002,,28.96
2/27/2002,,28.96
2/28/2002,,29.25
3/1/2002,,29.66
3/4/2002,,32.5
3/5/2002,,32.51
3/6/2002,,34.05
3/7/2002,,34.05
3/8/2002,,34.74
3/11/2002,,36.3
3/12/2002,,36.25
3/13/2002,,35.37
3/14/2002,,35.11
3/15/2002,,36.01
3/18/2002,,35.34
3/19/2002,,36.09
3/20/2002,,35.19
3/21/2002,,34.79
3/22/2002,,35.2
3/25/2002,,34.95
3/26/2002,,35.15
3/27/2002,,35.5
3/28/2002,,35.65
3/29/2002,,35.65
4/1/2002,,35.61
4/2/2002,,35.31
4/3/2002,,35.01
4/4/2002,,34.44
4/5/2002,,34.86
4/8/2002,,34.98
4/9/2002,,35.19
4/10/2002,,35.04
4/11/2002,,33.46
4/12/2002,,34.28
4/15/2002,,34.4
4/16/2002,,35.38
4/17/2002,,37.27
4/18/2002,,37.26
4/19/2002,,37.76
4/22/2002,,36.6
4/23/2002,,36.6
4/24/2002,,35.89
4/25/2002,,35.03
4/26/2002,,34.99
4/29/2002,,34.34
4/30/2002,,35.1
5/1/2002,,35.5
5/2/2002,,36.25
5/3/2002,,35.68
5/6/2002,,34.4
5/7/2002,,34.63
5/8/2002,,36.91
5/9/2002,,35.77
5/10/2002,,35.08
5/13/2002,,36.34
5/14/2002,,37.59
5/15/2002,,36.96
5/16/2002,,37.83
5/17/2002,,38.1
5/20/2002,,37.46
5/21/2002,,37.52
5/22/2002,,37.56
5/23/2002,,38.37
5/24/2002,,37.8
5/27/2002,,37.8
5/28/2002,,37.2
5/29/2002,,36.97
5/30/2002,,36.01
5/31/2002,,35.95
6/3/2002,,34.66
6/4/2002,,34.65
6/5/2002,,34.7
6/6/2002,,33.69
6/7/2002,,33.69
6/10/2002,,33.88
6/11/2002,,32.93
6/12/2002,,33.17
6/13/2002,,32.66
6/14/2002,,33.0
6/17/2002,,35.48
6/18/2002,,35.02
6/19/2002,,34.61
6/20/2002,,33.38
6/21/2002,,32.99
6/24/2002,,33.18
6/25/2002,,32.93
6/26/2002,,31.49
6/27/2002,,32.72
6/28/2002,,33.92
7/1/2002,,31.36
7/2/2002,,31.23
