Dates,volat,price
1/3/2000,,28.1875
1/4/2000,,28.2188
1/5/2000,,28.4688
1/6/2000,,28.5
1/7/2000,,30.375
1/10/2000,,29.4063
1/11/2000,,30.4063
1/12/2000,,30.75
1/13/2000,,30.2813
1/14/2000,,30.5313
1/17/2000,,30.5313
1/18/2000,,32.5
1/19/2000,,32.625
1/20/2000,,32.9375
1/21/2000,,33.4375
1/24/2000,,32.4375
1/25/2000,,32.9375
1/26/2000,,31.5313
1/27/2000,,29.75
1/28/2000,,28.4688
1/31/2000,,28.7188
2/1/2000,,29.0625
2/2/2000,,28.1875
2/3/2000,,27.625
2/4/2000,,28.125
2/7/2000,,28.4375
2/8/2000,,28.5938
2/9/2000,,28.5
2/10/2000,,28.3438
2/11/2000,,27.7813
2/14/2000,,27.125
2/15/2000,,27.8438
2/16/2000,,26.7813
2/17/2000,,26.1563
2/18/2000,,25.6875
2/21/2000,,25.6875
2/22/2000,,25.875
2/23/2000,,25.625
2/24/2000,,24.9063
2/25/2000,,24.3438
2/28/2000,,24.6563
2/29/2000,,24.3125
3/1/2000,,25.5
3/2/2000,,24.8125
3/3/2000,,25.0625
3/6/2000,,24.5
3/7/2000,,23.5625
3/8/2000,,23.75
3/9/2000,,23.375
3/10/2000,,22.75
3/13/2000,,21.875
3/14/2000,,21.6563
3/15/2000,,23.7813
3/16/2000,,24.875
3/17/2000,,24.5625
3/20/2000,,24.2813
3/21/2000,,24.7188
3/22/2000,,23.5313
3/23/2000,,23.5
3/24/2000,,23.5
3/27/2000,,22.625
3/28/2000,,22.4375
3/29/2000,,23.4375
3/30/2000,,24.2813
3/31/2000,,23.4688
4/3/2000,,24.6563
4/4/2000,,26.1875
4/5/2000,,23.8125
4/6/2000,,22.875
4/7/2000,,23.0938
4/10/2000,,22.5
4/11/2000,,23.5938
4/12/2000,,24.25
4/13/2000,,23.625
4/14/2000,,23.5
4/17/2000,,24.25
4/18/2000,,24.3125
4/19/2000,,24.5938
4/20/2000,,24.7188
4/21/2000,,24.7188
4/24/2000,,24.8125
4/25/2000,,25.25
4/26/2000,,24.7188
4/27/2000,,24.125
4/28/2000,,23.625
5/1/2000,,23.125
5/2/2000,,23.125
5/3/2000,,24.25
5/4/2000,,24.25
5/5/2000,,23.5313
5/8/2000,,24.25
5/9/2000,,25.25
5/10/2000,,26.4063
5/11/2000,,26.7813
5/12/2000,,26.125
5/15/2000,,25.875
5/16/2000,,24.4688
5/17/2000,,24.125
5/18/2000,,24.7188
5/19/2000,,25.0313
5/22/2000,,25.3438
5/23/2000,,25.0
5/24/2000,,26.3438
5/25/2000,,26.3438
5/26/2000,,27.2813
5/29/2000,,27.2813
5/30/2000,,26.9375
5/31/2000,,26.6875
6/1/2000,,26.625
6/2/2000,,26.2813
6/5/2000,,26.0
6/6/2000,,25.9063
6/7/2000,,26.5
6/8/2000,,26.4063
6/9/2000,,26.1563
6/12/2000,,26.3125
6/13/2000,,26.6875
6/14/2000,,26.5
6/15/2000,,27.9375
6/16/2000,,27.75
6/19/2000,,27.2188
6/20/2000,,26.4688
6/21/2000,,26.75
6/22/2000,,28.0625
6/23/2000,,28.9375
6/26/2000,,29.5
6/27/2000,,28.9375
6/28/2000,,30.0254
6/29/2000,,29.5313
6/30/2000,,28.7188
7/3/2000,,29.0938
7/4/2000,,29.0938
7/5/2000,,29.375
7/6/2000,,29.4688
7/7/2000,,29.375
7/10/2000,,28.7813
7/11/2000,,28.0938
7/12/2000,,28.0625
7/13/2000,,28.9688
7/14/2000,,28.8125
7/17/2000,,28.6719
7/18/2000,,29.0938
7/19/2000,,30.25
7/20/2000,,30.25
7/21/2000,,30.4297
7/24/2000,,29.625
7/25/2000,,29.625
7/26/2000,,29.4063
7/27/2000,,30.2188
7/28/2000,,31.3438
7/31/2000,,30.6563
8/1/2000,,31.5
8/2/2000,,31.4688
8/3/2000,,31.5
8/4/2000,,31.0625
8/7/2000,,30.6875
8/8/2000,,30.4688
8/9/2000,,29.9063
8/10/2000,,30.5
8/11/2000,,31.125
8/14/2000,,31.5313
8/15/2000,,31.0
8/16/2000,,30.3438
8/17/2000,,29.8438
8/18/2000,,30.1563
8/21/2000,,29.9063
8/22/2000,,29.0
8/23/2000,,29.3965
8/24/2000,,28.9688
8/25/2000,,28.0
8/28/2000,,28.5
8/29/2000,,28.1563
8/30/2000,,27.125
8/31/2000,,26.3223
9/1/2000,,27.125
9/4/2000,,27.125
9/5/2000,,28.1563
9/6/2000,,27.1563
9/7/2000,,27.0
9/8/2000,,27.2813
9/11/2000,,26.5
9/12/2000,,26.75
9/13/2000,,26.25
9/14/2000,,25.5
9/15/2000,,25.4063
9/18/2000,,26.5625
9/19/2000,,26.4375
9/20/2000,,25.125
9/21/2000,,24.7813
9/22/2000,,26.4375
9/25/2000,,26.7813
9/26/2000,,27.4688
9/27/2000,,27.8125
9/28/2000,,27.7188
9/29/2000,,27.5625
10/2/2000,,28.5
10/3/2000,,28.1563
10/4/2000,,28.625
10/5/2000,,29.5625
10/6/2000,,29.2188
10/9/2000,,28.9063
10/10/2000,,29.0938
10/11/2000,,29.2813
10/12/2000,,28.625
10/13/2000,,28.5938
10/16/2000,,29.3125
10/17/2000,,28.9688
10/18/2000,,29.0938
10/19/2000,,28.5625
10/20/2000,,27.4063
10/23/2000,,27.6563
10/24/2000,,28.0625
10/25/2000,,28.9688
10/26/2000,,29.3438
10/27/2000,,29.4688
10/30/2000,,29.9375
10/31/2000,,30.1875
11/1/2000,,30.4375
11/2/2000,,30.375
11/3/2000,,29.6563
11/6/2000,,30.25
11/7/2000,,30.0313
11/8/2000,,30.0938
11/9/2000,,31.1563
11/10/2000,,30.9375
11/13/2000,,30.5313
11/14/2000,,30.2813
11/15/2000,,30.6563
11/16/2000,,30.9688
11/17/2000,,30.7188
11/20/2000,,28.2813
11/21/2000,,27.625
11/22/2000,,29.7813
11/23/2000,,29.7813
11/24/2000,,29.5
11/27/2000,,29.7813
11/28/2000,,30.2188
11/29/2000,,31.0625
11/30/2000,,31.3125
12/1/2000,,31.0938
12/4/2000,,31.375
12/5/2000,,30.7188
12/6/2000,,30.4375
12/7/2000,,31.1875
12/8/2000,,30.4375
12/11/2000,,29.1563
12/12/2000,,29.0
12/13/2000,,28.9063
12/14/2000,,28.5
12/15/2000,,26.75
12/18/2000,,27.4375
12/19/2000,,28.375
12/20/2000,,28.125
12/21/2000,,29.6875
12/22/2000,,29.4375
12/25/2000,,29.4375
12/26/2000,,30.0
12/27/2000,,30.2813
12/28/2000,,30.5313
12/29/2000,,30.4688
1/1/2001,,30.4688
1/2/2001,,30.4063
1/3/2001,,29.625
1/4/2001,,28.7813
1/5/2001,,28.8438
1/8/2001,,29.3125
1/9/2001,,29.6875
1/10/2001,,29.5625
1/11/2001,,28.6875
1/12/2001,,28.3125
1/15/2001,,28.3125
1/16/2001,,28.5
1/17/2001,,28.9688
1/18/2001,,28.5625
1/19/2001,,27.9063
1/22/2001,,27.8438
1/23/2001,,28.4375
1/24/2001,,29.0313
1/25/2001,,29.3125
1/26/2001,,28.9688
1/29/2001,,28.56
1/30/2001,,28.955
1/31/2001,,29.0
2/1/2001,,28.72
2/2/2001,,28.87
2/5/2001,,29.6
2/6/2001,,29.71
2/7/2001,,30.0
2/8/2001,,30.305
2/9/2001,,30.07
2/12/2001,,30.41
2/13/2001,,29.98
2/14/2001,,29.75
2/15/2001,,29.185
2/16/2001,,29.68
2/19/2001,,29.68
2/20/2001,,29.235
2/21/2001,,27.46
2/22/2001,,26.495
2/23/2001,,26.0
2/26/2001,,26.235
2/27/2001,,26.0
2/28/2001,,26.515
3/1/2001,,26.35
3/2/2001,,26.275
3/5/2001,,25.1
3/6/2001,,24.9
3/7/2001,,25.215
3/8/2001,,25.7
3/9/2001,,25.75
3/12/2001,,25.05
3/13/2001,,24.375
3/14/2001,,23.835
3/15/2001,,23.825
3/16/2001,,24.325
3/19/2001,,24.2
3/20/2001,,23.715
3/21/2001,,22.625
3/22/2001,,22.86
3/23/2001,,22.75
3/26/2001,,22.45
3/27/2001,,23.305
3/28/2001,,22.975
3/29/2001,,22.26
3/30/2001,,22.58
4/2/2001,,22.925
4/3/2001,,22.33
4/4/2001,,22.625
4/5/2001,,22.65
4/6/2001,,22.5
4/9/2001,,21.95
4/10/2001,,21.825
4/11/2001,,22.065
4/12/2001,,22.285
4/13/2001,,22.285
4/16/2001,,22.705
4/17/2001,,22.85
4/18/2001,,23.375
4/19/2001,,23.75
4/20/2001,,23.5
4/23/2001,,23.725
4/24/2001,,23.695
4/25/2001,,24.1
4/26/2001,,23.45
4/27/2001,,23.5
4/30/2001,,23.095
5/1/2001,,23.815
5/2/2001,,23.785
5/3/2001,,23.375
5/4/2001,,23.415
5/7/2001,,23.41
5/8/2001,,23.285
5/9/2001,,22.88
5/10/2001,,22.805
5/11/2001,,22.645
5/14/2001,,23.005
5/15/2001,,22.95
5/16/2001,,24.115
5/17/2001,,24.065
5/18/2001,,24.05
5/21/2001,,24.145
5/22/2001,,23.9
5/23/2001,,24.35
5/24/2001,,24.545
5/25/2001,,24.085
5/28/2001,,24.085
5/29/2001,,24.17
5/30/2001,,23.94
5/31/2001,,23.7
6/1/2001,,23.905
6/4/2001,,23.785
6/5/2001,,23.81
6/6/2001,,23.375
6/7/2001,,23.06
6/8/2001,,23.0
6/11/2001,,22.965
6/12/2001,,22.955
