Dates,volat,price
1/3/2000,,58.2813
1/4/2000,,56.3125
1/5/2000,,56.9063
1/6/2000,,55.0
1/7/2000,,55.7188
1/10/2000,,56.125
1/11/2000,,54.6875
1/12/2000,,52.9063
1/13/2000,,53.9063
1/14/2000,,56.125
1/17/2000,,56.125
1/18/2000,,57.6563
1/19/2000,,53.5
1/20/2000,,53.0
1/21/2000,,51.875
1/24/2000,,50.625
1/25/2000,,51.4063
1/26/2000,,49.6875
1/27/2000,,49.375
1/28/2000,,49.125
1/31/2000,,48.9375
2/1/2000,,51.4688
2/2/2000,,50.4063
2/3/2000,,51.8125
2/4/2000,,53.2813
2/7/2000,,53.3125
2/8/2000,,54.9688
2/9/2000,,52.0
2/10/2000,,53.0
2/11/2000,,49.9688
2/14/2000,,49.8125
2/15/2000,,49.2813
2/16/2000,,48.8125
2/17/2000,,49.8125
2/18/2000,,47.5313
2/21/2000,,47.5313
2/22/2000,,46.9063
2/23/2000,,47.125
2/24/2000,,47.375
2/25/2000,,45.6563
2/28/2000,,45.7813
2/29/2000,,44.6875
3/1/2000,,45.4063
3/2/2000,,46.6875
3/3/2000,,48.0625
3/6/2000,,45.3125
3/7/2000,,46.4375
3/8/2000,,47.7813
3/9/2000,,50.0
3/10/2000,,50.5
3/13/2000,,49.0
3/14/2000,,47.5625
3/15/2000,,47.6875
3/16/2000,,47.6875
3/17/2000,,49.6875
3/20/2000,,48.6875
3/21/2000,,51.375
3/22/2000,,51.625
3/23/2000,,55.9375
3/24/2000,,55.8438
3/27/2000,,52.0313
3/28/2000,,52.1563
3/29/2000,,53.5938
3/30/2000,,51.6875
3/31/2000,,53.125
4/3/2000,,45.4375
4/4/2000,,44.2813
4/5/2000,,43.1875
4/6/2000,,43.0
4/7/2000,,44.5313
4/10/2000,,43.0313
4/11/2000,,41.9375
4/12/2000,,39.6875
4/13/2000,,39.625
4/14/2000,,37.0625
4/17/2000,,37.9375
4/18/2000,,40.2813
4/19/2000,,39.3438
4/20/2000,,39.4688
4/21/2000,,39.4688
4/24/2000,,33.3125
4/25/2000,,34.6875
4/26/2000,,34.0
4/27/2000,,34.9063
4/28/2000,,34.875
5/1/2000,,36.7188
5/2/2000,,34.9375
5/3/2000,,35.2813
5/4/2000,,35.2188
5/5/2000,,35.5625
5/8/2000,,34.9063
5/9/2000,,33.9063
5/10/2000,,33.0938
5/11/2000,,33.9375
5/12/2000,,34.4063
5/15/2000,,34.6875
5/16/2000,,34.75
5/17/2000,,33.8438
5/18/2000,,33.0938
5/19/2000,,32.5313
5/22/2000,,32.0938
5/23/2000,,31.5938
5/24/2000,,32.7813
5/25/2000,,30.75
5/26/2000,,30.7188
5/29/2000,,30.7188
5/30/2000,,31.6875
5/31/2000,,31.2813
6/1/2000,,32.2813
6/2/2000,,33.1563
6/5/2000,,33.4375
6/6/2000,,34.8125
6/7/2000,,35.25
6/8/2000,,34.4063
6/9/2000,,34.4063
6/12/2000,,33.4375
6/13/2000,,33.9375
6/14/2000,,35.25
6/15/2000,,36.1875
6/16/2000,,36.2813
6/19/2000,,36.8438
6/20/2000,,37.4688
6/21/2000,,40.3438
6/22/2000,,39.9375
6/23/2000,,38.8438
6/26/2000,,39.75
6/27/2000,,39.4063
6/28/2000,,39.4688
6/29/2000,,38.5938
6/30/2000,,40.0
7/3/2000,,40.0
7/4/2000,,40.0
7/5/2000,,39.25
7/6/2000,,40.4688
7/7/2000,,41.0
7/10/2000,,39.7188
7/11/2000,,39.5625
7/12/2000,,40.1563
7/13/2000,,39.9688
7/14/2000,,39.4688
7/17/2000,,39.0938
7/18/2000,,39.25
7/19/2000,,36.5625
7/20/2000,,37.4063
7/21/2000,,36.1563
7/24/2000,,35.2813
7/25/2000,,34.5
7/26/2000,,33.9063
7/27/2000,,34.6875
7/28/2000,,34.8438
7/31/2000,,34.9063
8/1/2000,,34.3438
8/2/2000,,34.6875
8/3/2000,,35.125
8/4/2000,,34.5625
8/7/2000,,35.0
8/8/2000,,37.0625
8/9/2000,,37.125
8/10/2000,,36.3125
8/11/2000,,36.2188
8/14/2000,,36.0938
8/15/2000,,35.8125
8/16/2000,,35.5
8/17/2000,,35.7813
8/18/2000,,35.5
8/21/2000,,35.3125
8/22/2000,,35.625
8/23/2000,,35.375
8/24/2000,,35.5625
8/25/2000,,35.3125
8/28/2000,,35.6563
8/29/2000,,35.4688
8/30/2000,,35.0
8/31/2000,,34.9063
9/1/2000,,35.0938
9/4/2000,,35.0938
9/5/2000,,35.0625
9/6/2000,,34.7188
9/7/2000,,35.0313
9/8/2000,,34.6563
9/11/2000,,34.4063
9/12/2000,,34.0625
9/13/2000,,34.125
9/14/2000,,32.9063
9/15/2000,,32.0938
9/18/2000,,31.5
9/19/2000,,32.5
9/20/2000,,32.125
9/21/2000,,32.0938
9/22/2000,,31.625
9/25/2000,,30.625
9/26/2000,,31.3438
9/27/2000,,30.3125
9/28/2000,,30.6563
9/29/2000,,30.1563
10/2/2000,,29.5625
10/3/2000,,28.2813
10/4/2000,,27.7188
10/5/2000,,27.6875
10/6/2000,,27.7813
10/9/2000,,27.0938
10/10/2000,,27.2813
10/11/2000,,27.875
10/12/2000,,27.1875
10/13/2000,,26.875
10/16/2000,,25.1875
10/17/2000,,25.2188
10/18/2000,,25.875
10/19/2000,,30.9375
10/20/2000,,32.5938
