Dates,volat,price
1/3/2000,,56.0328
1/4/2000,,51.8822
1/5/2000,,49.9885
1/6/2000,,50.9483
1/7/2000,,52.5307
1/10/2000,,54.2169
1/11/2000,,54.2169
1/12/2000,,54.6319
1/13/2000,,54.9692
1/14/2000,,56.9926
1/17/2000,,56.9926
1/18/2000,,55.5139
1/19/2000,,56.3181
1/20/2000,,55.9549
1/21/2000,,54.9951
1/24/2000,,53.1274
1/25/2000,,53.724
1/26/2000,,55.1508
1/27/2000,,56.0846
1/28/2000,,52.5567
1/31/2000,,54.9951
2/1/2000,,53.1274
2/2/2000,,54.0612
2/3/2000,,54.7876
2/4/2000,,54.5282
2/7/2000,,54.0612
2/8/2000,,56.2922
2/9/2000,,55.7734
2/10/2000,,55.4621
2/11/2000,,55.4102
2/14/2000,,54.7876
2/15/2000,,54.4244
2/16/2000,,54.4244
2/17/2000,,52.5048
2/18/2000,,50.8445
2/21/2000,,50.8445
2/22/2000,,51.7265
2/23/2000,,54.5801
2/24/2000,,57.3298
2/25/2000,,58.0043
2/28/2000,,57.4336
2/29/2000,,58.4712
3/1/2000,,62.4662
3/2/2000,,63.5557
3/3/2000,,65.7347
3/6/2000,,67.1356
3/7/2000,,67.2393
3/8/2000,,65.5791
3/9/2000,,69.2108
3/10/2000,,71.9087
3/13/2000,,68.4845
3/14/2000,,66.3573
3/15/2000,,64.749
3/16/2000,,67.0318
3/17/2000,,73.7765
3/20/2000,,72.7907
3/21/2000,,73.6208
3/22/2000,,74.8271
3/23/2000,,78.6534
3/24/2000,,79.5354
3/27/2000,,74.7104
3/28/2000,,73.0501
3/29/2000,,72.0125
3/30/2000,,69.8497
3/31/2000,,68.7958
4/3/2000,,70.8711
4/4/2000,,65.2678
4/5/2000,,66.2017
4/6/2000,,70.8192
4/7/2000,,70.1966
4/10/2000,,73.6727
4/11/2000,,71.4418
4/12/2000,,66.2017
4/13/2000,,62.6737
4/14/2000,,55.5139
4/17/2000,,57.2261
4/18/2000,,62.8812
4/19/2000,,62.2586
4/20/2000,,62.2586
4/21/2000,,62.2586
4/24/2000,,64.4377
4/25/2000,,66.3054
4/26/2000,,66.928
4/27/2000,,66.8243
4/28/2000,,63.7113
5/1/2000,,66.2017
5/2/2000,,62.8812
5/3/2000,,60.5984
5/4/2000,,59.457
5/5/2000,,59.0419
5/8/2000,,59.6126
5/9/2000,,59.0419
5/10/2000,,54.8914
5/11/2000,,55.6177
5/12/2000,,57.6087
5/15/2000,,61.4804
5/16/2000,,62.4662
5/17/2000,,63.0887
5/18/2000,,61.9992
5/19/2000,,57.6411
5/22/2000,,56.0328
5/23/2000,,56.6553
5/24/2000,,56.6553
5/25/2000,,53.1274
5/26/2000,,52.8679
5/29/2000,,52.8679
5/30/2000,,55.6177
5/31/2000,,59.3532
6/1/2000,,62.4662
6/2/2000,,68.9514
6/5/2000,,68.1732
6/6/2000,,66.2017
6/7/2000,,66.3573
6/8/2000,,65.3716
6/9/2000,,65.7866
6/12/2000,,67.0837
6/13/2000,,69.2108
6/14/2000,,70.9748
6/15/2000,,69.6778
6/16/2000,,67.3431
6/19/2000,,70.0928
6/20/2000,,71.8568
6/21/2000,,71.0786
6/22/2000,,69.0552
6/23/2000,,67.3431
6/26/2000,,68.2251
6/27/2000,,68.8995
6/28/2000,,69.3146
6/29/2000,,70.041
6/30/2000,,69.1071
7/3/2000,,70.5598
7/4/2000,,70.5598
7/5/2000,,72.1162
