Dates,volat,price
1/3/2000,,13.8555
1/4/2000,,14.0078
1/5/2000,,14.731
1/6/2000,,14.7691
1/7/2000,,15.0355
1/10/2000,,14.9213
1/11/2000,,14.8071
1/12/2000,,15.0736
1/13/2000,,14.8833
1/14/2000,,14.6929
1/17/2000,,14.6929
1/18/2000,,14.2362
1/19/2000,,14.5788
1/20/2000,,14.5026
1/21/2000,,14.9213
1/24/2000,,15.302
1/25/2000,,15.4542
1/26/2000,,15.5304
1/27/2000,,15.5684
1/28/2000,,15.4162
1/31/2000,,15.6446
2/1/2000,,15.4542
2/2/2000,,15.34
2/3/2000,,15.1497
2/4/2000,,14.8071
2/7/2000,,14.8071
2/8/2000,,14.8833
2/9/2000,,14.7691
2/10/2000,,14.9213
2/11/2000,,14.8452
2/14/2000,,14.8452
2/15/2000,,14.8071
2/16/2000,,14.5407
2/17/2000,,14.3123
2/18/2000,,14.0458
2/21/2000,,14.0458
2/22/2000,,14.0458
2/23/2000,,13.8555
2/24/2000,,13.4368
2/25/2000,,13.2465
2/28/2000,,13.8175
2/29/2000,,13.5129
3/1/2000,,13.3607
3/2/2000,,13.4368
3/3/2000,,13.4368
3/6/2000,,12.9039
3/7/2000,,12.98
3/8/2000,,12.8658
3/9/2000,,12.8278
3/10/2000,,12.8658
3/13/2000,,12.98
3/14/2000,,12.5233
3/15/2000,,13.2846
3/16/2000,,13.8555
3/17/2000,,13.3607
3/20/2000,,13.2465
3/21/2000,,12.98
3/22/2000,,12.7516
3/23/2000,,13.0562
3/24/2000,,13.3226
3/27/2000,,13.4368
3/28/2000,,13.2846
3/29/2000,,13.2465
3/30/2000,,13.2084
3/31/2000,,13.2465
4/3/2000,,13.7794
4/4/2000,,14.0839
4/5/2000,,14.0839
4/6/2000,,13.6652
4/7/2000,,13.550999999999998
4/10/2000,,14.1981
4/11/2000,,14.3123
4/12/2000,,14.6929
4/13/2000,,15.1117
4/14/2000,,14.9213
4/17/2000,,14.8452
4/18/2000,,15.5113
4/19/2000,,15.1497
4/20/2000,,15.5684
4/21/2000,,15.5684
4/24/2000,,15.7968
4/25/2000,,16.2536
4/26/2000,,16.7484
4/27/2000,,15.8349
4/28/2000,,15.1878
5/1/2000,,14.7691
5/2/2000,,14.8833
5/3/2000,,14.9594
5/4/2000,,15.1497
5/5/2000,,14.9213
5/8/2000,,15.1878
5/9/2000,,15.2259
5/10/2000,,15.4162
5/11/2000,,15.7588
5/12/2000,,15.2639
5/15/2000,,15.5684
5/16/2000,,15.3781
5/17/2000,,14.9213
5/18/2000,,15.34
5/19/2000,,15.5684
5/22/2000,,15.7968
5/23/2000,,15.6446
5/24/2000,,16.1013
5/25/2000,,15.9491
5/26/2000,,16.0633
5/29/2000,,16.0633
5/30/2000,,15.6826
5/31/2000,,15.7968
6/1/2000,,15.7207
6/2/2000,,15.2639
6/5/2000,,14.7691
6/6/2000,,15.1497
6/7/2000,,15.2259
6/8/2000,,15.1878
6/9/2000,,15.2259
6/12/2000,,15.3163
6/13/2000,,15.6446
6/14/2000,,15.5684
6/15/2000,,15.5684
6/16/2000,,15.2639
6/19/2000,,15.0736
6/20/2000,,15.2259
6/21/2000,,15.1497
6/22/2000,,15.1497
6/23/2000,,15.1497
6/26/2000,,15.2259
6/27/2000,,14.731
6/28/2000,,14.9713
6/29/2000,,14.6168
6/30/2000,,14.1981
7/3/2000,,14.5026
7/4/2000,,14.5026
7/5/2000,,14.5026
7/6/2000,,14.5788
7/7/2000,,14.7691
7/10/2000,,15.0355
7/11/2000,,15.1117
7/12/2000,,14.8452
7/13/2000,,14.8833
7/14/2000,,14.6929
7/17/2000,,14.6929
7/18/2000,,14.8071
7/19/2000,,15.302
7/20/2000,,15.302
7/21/2000,,15.34
7/24/2000,,15.2259
7/25/2000,,15.1878
7/26/2000,,14.8452
7/27/2000,,15.0355
7/28/2000,,15.1117
7/31/2000,,14.8833
8/1/2000,,15.2639
8/2/2000,,15.911
8/3/2000,,16.1109
8/4/2000,,16.1394
8/7/2000,,16.7199
8/8/2000,,16.9768
8/9/2000,,16.5867
8/10/2000,,16.5296
8/11/2000,,16.5581
8/14/2000,,16.7484
8/15/2000,,16.7865
8/16/2000,,16.6462
8/17/2000,,16.6342
8/18/2000,,16.6723
8/21/2000,,16.7104
8/22/2000,,16.6342
8/23/2000,,17.0149
8/24/2000,,17.053
8/25/2000,,17.2813
8/28/2000,,17.5859
8/29/2000,,17.3575
8/30/2000,,17.8904
8/31/2000,,18.2449
9/1/2000,,18.2449
9/4/2000,,18.2449
9/5/2000,,18.6517
9/6/2000,,18.9942
9/7/2000,,19.3368
9/8/2000,,20.0363
9/11/2000,,20.1481
