Dates,volat,price
1/3/2000,,47.0
1/4/2000,,44.25
1/5/2000,,44.9375
1/6/2000,,43.75
1/7/2000,,44.125
1/10/2000,,44.75
1/11/2000,,44.125
1/12/2000,,41.8125
1/13/2000,,40.8125
1/14/2000,,42.0
1/17/2000,,42.0
1/18/2000,,41.125
1/19/2000,,40.5625
1/20/2000,,41.0
1/21/2000,,43.0
1/24/2000,,42.0
1/25/2000,,40.0
1/26/2000,,40.0
1/27/2000,,39.0
1/28/2000,,39.25
1/31/2000,,42.875
2/1/2000,,42.375
2/2/2000,,42.5
2/3/2000,,42.0
2/4/2000,,42.0
2/7/2000,,41.875
2/8/2000,,42.0625
2/9/2000,,42.625
2/10/2000,,42.125
2/11/2000,,40.4375
2/14/2000,,40.875
2/15/2000,,40.6875
2/16/2000,,39.0625
2/17/2000,,40.0
2/18/2000,,38.25
2/21/2000,,38.25
2/22/2000,,36.5
2/23/2000,,35.75
2/24/2000,,35.5
2/25/2000,,35.4375
2/28/2000,,37.0
2/29/2000,,37.75
3/1/2000,,42.0
3/2/2000,,45.25
3/3/2000,,45.5625
3/6/2000,,43.375
3/7/2000,,41.875
3/8/2000,,41.625
3/9/2000,,41.5625
3/10/2000,,42.0
3/13/2000,,43.6875
3/14/2000,,42.125
3/15/2000,,42.5
3/16/2000,,45.125
3/17/2000,,45.75
3/20/2000,,44.4375
3/21/2000,,45.25
3/22/2000,,43.3125
3/23/2000,,43.5625
3/24/2000,,43.0
3/27/2000,,43.1875
3/28/2000,,42.5
3/29/2000,,42.25
3/30/2000,,41.625
3/31/2000,,42.125
4/3/2000,,44.75
4/4/2000,,46.0
4/5/2000,,46.3125
4/6/2000,,47.25
4/7/2000,,46.375
4/10/2000,,46.25
4/11/2000,,47.25
4/12/2000,,47.0
4/13/2000,,47.0
4/14/2000,,42.625
4/17/2000,,41.875
4/18/2000,,41.5
4/19/2000,,41.9375
4/20/2000,,41.1875
4/21/2000,,41.1875
4/24/2000,,42.25
4/25/2000,,44.9375
4/26/2000,,44.0
4/27/2000,,43.25
4/28/2000,,43.8125
5/1/2000,,44.625
5/2/2000,,42.375
5/3/2000,,41.9375
5/4/2000,,41.0625
5/5/2000,,43.0
5/8/2000,,42.875
5/9/2000,,42.3125
5/10/2000,,45.125
5/11/2000,,45.5664
5/12/2000,,44.8359
5/15/2000,,46.0
5/16/2000,,45.6875
