Dates,volat,price
1/3/2000,,53.7247
1/4/2000,,51.988
1/5/2000,,53.7247
1/6/2000,,53.1085
1/7/2000,,52.7163
1/10/2000,,52.4362
1/11/2000,,51.9425
1/12/2000,,50.1953
1/13/2000,,49.8032
1/14/2000,,50.4754
1/17/2000,,50.4754
1/18/2000,,52.6603
1/19/2000,,51.6519
1/20/2000,,52.8844
1/21/2000,,53.8367
1/24/2000,,53.8928
1/25/2000,,52.4362
1/26/2000,,51.7639
1/27/2000,,52.2121
1/28/2000,,51.6519
1/31/2000,,55.5174
2/1/2000,,53.3886
2/2/2000,,53.1645
2/3/2000,,52.3802
2/4/2000,,52.4922
2/7/2000,,53.5566
2/8/2000,,52.8844
2/9/2000,,51.82
2/10/2000,,51.1477
2/11/2000,,50.1953
2/14/2000,,49.5791
2/15/2000,,48.6267
2/16/2000,,49.355
2/17/2000,,48.1786
2/18/2000,,46.4979
2/21/2000,,46.4979
2/22/2000,,46.833999999999996
2/23/2000,,45.0414
2/24/2000,,43.0246
2/25/2000,,42.6324
2/28/2000,,44.7052
2/29/2000,,43.8649
3/1/2000,,49.243
3/2/2000,,49.5231
3/3/2000,,49.5791
3/6/2000,,51.0917
3/7/2000,,49.8592
3/8/2000,,50.6435
3/9/2000,,52.5482
3/10/2000,,51.3718
3/13/2000,,51.2597
3/14/2000,,50.2514
3/15/2000,,50.2514
3/16/2000,,51.876000000000005
3/17/2000,,53.0524
3/20/2000,,52.9964
3/21/2000,,52.7723
3/22/2000,,51.876000000000005
3/23/2000,,53.4446
3/24/2000,,53.3325
3/27/2000,,54.3409
3/28/2000,,54.2289
3/29/2000,,55.5734
3/30/2000,,54.9012
3/31/2000,,54.7891
4/3/2000,,56.5258
4/4/2000,,57.141999999999996
4/5/2000,,56.6378
4/6/2000,,58.4305
4/7/2000,,57.9263
4/10/2000,,56.6378
4/11/2000,,57.4221
4/12/2000,,57.7022
4/13/2000,,56.5258
4/14/2000,,54.7891
4/17/2000,,54.3409
4/18/2000,,54.397
4/19/2000,,55.3493
4/20/2000,,54.0048
4/21/2000,,54.0048
4/24/2000,,55.5174
4/25/2000,,56.4137
4/26/2000,,55.1252
4/27/2000,,53.7807
4/28/2000,,53.7807
5/1/2000,,51.988
5/2/2000,,49.299
5/3/2000,,49.6911
5/4/2000,,48.2346
5/5/2000,,48.3466
5/8/2000,,48.8158
5/9/2000,,48.3782
5/10/2000,,48.0665
5/11/2000,,49.0609
5/12/2000,,47.5063
5/15/2000,,49.355
5/16/2000,,49.5231
5/17/2000,,48.6267
5/18/2000,,48.2906
5/19/2000,,47.1702
5/22/2000,,46.8901
5/23/2000,,45.5455
5/24/2000,,46.2178
5/25/2000,,45.3775
5/26/2000,,46.3299
5/29/2000,,46.3299
5/30/2000,,47.1142
5/31/2000,,47.3943
6/1/2000,,47.965
6/2/2000,,48.0665
6/5/2000,,47.5063
6/6/2000,,48.4587
6/7/2000,,48.4587
6/8/2000,,48.9629
6/9/2000,,48.3466
6/12/2000,,48.2346
6/13/2000,,49.6911
6/14/2000,,51.4278
6/15/2000,,50.6995
6/16/2000,,49.355
6/19/2000,,51.0917
6/20/2000,,51.4838
6/21/2000,,50.9236
6/22/2000,,52.1561
6/23/2000,,51.4278
6/26/2000,,49.7472
6/27/2000,,48.0665
6/28/2000,,47.1527
6/29/2000,,46.1618
6/30/2000,,45.5455
7/3/2000,,49.299
7/4/2000,,49.299
7/5/2000,,48.7948
7/6/2000,,48.2346
7/7/2000,,49.6351
7/10/2000,,49.0189
7/11/2000,,47.1142
7/12/2000,,46.722
7/13/2000,,46.1618
7/14/2000,,44.3691
7/17/2000,,44.3691
7/18/2000,,43.7529
7/19/2000,,42.1282
7/20/2000,,39.6633
7/21/2000,,43.0246
7/24/2000,,43.6968
7/25/2000,,43.5288
7/26/2000,,42.1282
7/27/2000,,42.1282
7/28/2000,,42.1282
7/31/2000,,41.9041
8/1/2000,,42.9686
8/2/2000,,42.9125
8/3/2000,,43.0246
8/4/2000,,42.0722
8/7/2000,,42.9125
8/8/2000,,38.0947
8/9/2000,,36.1899
8/10/2000,,37.7585
8/11/2000,,37.1983
8/14/2000,,38.0947
8/15/2000,,37.6465
8/16/2000,,37.4224
8/17/2000,,36.5261
8/18/2000,,38.0387
8/21/2000,,38.3748
8/22/2000,,37.4224
8/23/2000,,36.302
8/24/2000,,37.3104
8/25/2000,,38.6549
8/28/2000,,39.2711
8/29/2000,,38.4308
8/30/2000,,39.6633
8/31/2000,,39.005
9/1/2000,,39.4952
9/4/2000,,39.4952
9/5/2000,,38.991
9/6/2000,,38.2067
9/7/2000,,39.1031
9/8/2000,,39.7193
9/11/2000,,40.3916
9/12/2000,,40.2235
9/13/2000,,38.879
9/14/2000,,38.991
9/15/2000,,39.8874
9/18/2000,,38.879
9/19/2000,,39.1521
9/20/2000,,37.6465
9/21/2000,,36.9742
9/22/2000,,38.935
9/25/2000,,38.6549
9/26/2000,,38.879
9/27/2000,,38.935
9/28/2000,,42.3523
9/29/2000,,43.4167
10/2/2000,,42.4644
10/3/2000,,42.6884
10/4/2000,,44.3131
10/5/2000,,46.4979
10/6/2000,,45.1534
10/9/2000,,44.4811
10/10/2000,,43.5288
10/11/2000,,41.623999999999995
10/12/2000,,41.1759
10/13/2000,,41.6801
10/16/2000,,41.623999999999995
10/17/2000,,43.3607
10/18/2000,,42.8565
10/19/2000,,43.0806
10/20/2000,,43.4167
10/23/2000,,44.5372
10/24/2000,,44.9853
10/25/2000,,44.7052
10/26/2000,,45.7136
10/27/2000,,47.5623
10/30/2000,,49.6351
10/31/2000,,51.82
11/1/2000,,49.9713
11/2/2000,,51.7639
11/3/2000,,51.0917
11/6/2000,,49.8032
11/7/2000,,49.243
11/8/2000,,49.355
11/9/2000,,50.1953
11/10/2000,,50.5875
11/13/2000,,51.0357
11/14/2000,,49.9713
11/15/2000,,48.5707
11/16/2000,,48.2346
11/17/2000,,46.4979
11/20/2000,,46.833999999999996
11/21/2000,,47.0021
11/22/2000,,47.5063
11/23/2000,,47.5063
11/24/2000,,47.2822
11/27/2000,,48.1225
11/28/2000,,49.299
11/29/2000,,50.0273
11/30/2000,,50.3634
12/1/2000,,50.2514
12/4/2000,,51.0917
12/5/2000,,51.7639
12/6/2000,,52.6603
12/7/2000,,51.876000000000005
12/8/2000,,50.3634
12/11/2000,,49.411
12/12/2000,,49.6351
12/13/2000,,51.5959
12/14/2000,,50.8676
12/15/2000,,49.5791
12/18/2000,,50.0273
12/19/2000,,46.4979
12/20/2000,,44.9293
12/21/2000,,43.7529
12/22/2000,,43.1366
12/25/2000,,43.1366
12/26/2000,,44.5932
12/27/2000,,45.3215
12/28/2000,,43.8649
12/29/2000,,44.9293
1/1/2001,,44.9293
1/2/2001,,45.0414
1/3/2001,,47.6183
1/4/2001,,49.0189
1/5/2001,,48.9068
1/8/2001,,48.6267
1/9/2001,,49.7472
1/10/2001,,50.3634
1/11/2001,,49.9713
1/12/2001,,49.7472
1/15/2001,,49.7472
1/16/2001,,48.7388
1/17/2001,,48.3466
1/18/2001,,49.9713
1/19/2001,,49.6351
1/22/2001,,48.3466
1/23/2001,,48.2346
1/24/2001,,46.4979
1/25/2001,,45.8817
1/26/2001,,46.4979
1/29/2001,,47.7573
1/30/2001,,48.3041
1/31/2001,,49.2542
2/1/2001,,49.299
2/2/2001,,46.61
2/5/2001,,47.0581
2/6/2001,,48.7612
2/7/2001,,47.4615
2/8/2001,,47.6408
2/9/2001,,47.0492
2/12/2001,,47.9097
2/13/2001,,48.5819
2/14/2001,,46.7892
2/15/2001,,46.7086
2/16/2001,,47.0761
2/19/2001,,47.0761
2/20/2001,,46.117
2/21/2001,,43.9209
2/22/2001,,43.9209
2/23/2001,,44.0285
2/26/2001,,45.6688
2/27/2001,,45.5792
2/28/2001,,44.3691
3/1/2001,,43.419
3/2/2001,,44.3781
3/5/2001,,43.1411
3/6/2001,,43.1321
3/7/2001,,42.8095
3/8/2001,,44.145
3/9/2001,,42.7915
3/12/2001,,42.5406
3/13/2001,,44.0823
3/14/2001,,42.0386
3/15/2001,,43.0694
3/16/2001,,42.424
3/19/2001,,43.8134
3/20/2001,,42.1641
3/21/2001,,41.3305
3/22/2001,,41.2319
3/23/2001,,42.0834
3/26/2001,,43.0246
3/27/2001,,44.9159
3/28/2001,,42.2985
3/29/2001,,43.2038
3/30/2001,,44.1898
4/2/2001,,43.6072
4/3/2001,,42.666000000000004
4/4/2001,,43.8313
4/5/2001,,44.3691
4/6/2001,,44.3243
4/9/2001,,45.0414
4/10/2001,,45.7495
4/11/2001,,45.2206
4/12/2001,,46.6817
4/13/2001,,46.6817
4/16/2001,,46.61
4/17/2001,,47.4167
4/18/2001,,47.7394
4/19/2001,,47.9545
4/20/2001,,47.5601
4/23/2001,,47.4256
4/24/2001,,47.336000000000006
4/25/2001,,49.4603
4/26/2001,,49.7382
4/27/2001,,49.9264
4/30/2001,,49.3617
5/1/2001,,50.8138
5/2/2001,,51.0021
5/3/2001,,50.0161
5/4/2001,,50.0161
5/7/2001,,50.9393
5/8/2001,,49.8368
5/9/2001,,48.2413
5/10/2001,,47.8738
5/11/2001,,47.7662
5/14/2001,,48.2772
5/15/2001,,48.4026
5/16/2001,,49.2094
5/17/2001,,48.1606
5/18/2001,,48.5461
5/21/2001,,49.0032
5/22/2001,,48.7881
5/23/2001,,48.1337
5/24/2001,,48.3309
5/25/2001,,48.3758
5/28/2001,,48.3758
5/29/2001,,48.8777
5/30/2001,,48.4026
5/31/2001,,49.1645
6/1/2001,,49.0659
6/4/2001,,49.6575
6/5/2001,,49.7472
6/6/2001,,48.7881
6/7/2001,,47.7752
6/8/2001,,47.9545
6/11/2001,,48.2323
6/12/2001,,48.7164
6/13/2001,,48.0441
6/14/2001,,47.82
6/15/2001,,47.0133
6/18/2001,,46.7803
6/19/2001,,46.6996
6/20/2001,,47.2733
6/21/2001,,47.6856
6/22/2001,,47.1029
6/25/2001,,46.4307
6/26/2001,,47.5063
6/27/2001,,46.8789
6/28/2001,,48.0531
6/29/2001,,47.9545
7/2/2001,,48.7343
7/3/2001,,49.2811
7/4/2001,,49.2811
7/5/2001,,48.4026
7/6/2001,,47.7483
7/9/2001,,48.4026
7/10/2001,,49.4783
7/11/2001,,50.0519
7/12/2001,,49.7023
7/13/2001,,49.5231
7/16/2001,,50.1057
7/17/2001,,50.6166
7/18/2001,,50.3836
7/19/2001,,51.2351
7/20/2001,,50.3119
7/23/2001,,49.299
7/24/2001,,48.4564
7/25/2001,,50.043
7/26/2001,,50.3836
7/27/2001,,50.3119
7/30/2001,,50.2133
7/31/2001,,48.5371
8/1/2001,,49.9623
8/2/2001,,48.8508
8/3/2001,,48.1158
8/6/2001,,47.7483
8/7/2001,,48.0172
8/8/2001,,47.5511
8/9/2001,,47.2822
8/10/2001,,48.3399
8/13/2001,,48.08
8/14/2001,,48.1158
8/15/2001,,47.4167
8/16/2001,,47.7752
8/17/2001,,47.0581
8/20/2001,,47.7752
8/21/2001,,47.7752
8/22/2001,,47.093999999999994
8/23/2001,,46.61
8/24/2001,,46.7086
8/27/2001,,46.0273
8/28/2001,,45.3282
8/29/2001,,44.8173
8/30/2001,,45.0234
8/31/2001,,44.8173
9/3/2001,,44.8173
9/4/2001,,44.7725
9/5/2001,,44.6828
9/6/2001,,43.9568
9/7/2001,,43.9657
9/10/2001,,45.4447
9/11/2001,,45.4447
9/12/2001,,45.4447
9/13/2001,,45.4447
9/14/2001,,45.4447
9/17/2001,,44.638000000000005
9/18/2001,,46.3411
9/19/2001,,48.313
9/20/2001,,47.7304
9/21/2001,,45.3999
9/24/2001,,46.61
9/25/2001,,48.3578
9/26/2001,,48.1696
9/27/2001,,48.0441
9/28/2001,,48.5012
10/1/2001,,49.5679
10/2/2001,,49.9264
10/3/2001,,49.1735
10/4/2001,,49.2542
10/5/2001,,48.815
10/8/2001,,48.8419
10/9/2001,,48.806000000000004
10/10/2001,,48.4923
10/11/2001,,47.3719
10/12/2001,,46.8789
10/15/2001,,46.7982
10/16/2001,,46.6996
10/17/2001,,47.1926
10/18/2001,,46.6996
10/19/2001,,46.9237
10/22/2001,,45.857
10/23/2001,,44.6918
10/24/2001,,44.9069
10/25/2001,,44.9876
10/26/2001,,45.364
10/29/2001,,44.9876
10/30/2001,,44.1898
10/31/2001,,44.647
11/1/2001,,45.8391
11/2/2001,,46.0273
11/5/2001,,45.8929
11/6/2001,,45.2206
11/7/2001,,44.6828
11/8/2001,,44.7635
11/9/2001,,44.9786
11/12/2001,,44.3691
11/13/2001,,43.8223
11/14/2001,,44.145
11/15/2001,,45.5792
11/16/2001,,45.0862
11/19/2001,,44.7276
11/20/2001,,44.1002
11/21/2001,,43.912
11/22/2001,,43.912
11/23/2001,,43.9209
11/26/2001,,43.7865
11/27/2001,,43.0246
11/28/2001,,42.8901
11/29/2001,,42.5406
11/30/2001,,42.1282
12/3/2001,,42.5495
12/4/2001,,43.0067
12/5/2001,,43.159
12/6/2001,,43.5265
12/7/2001,,42.8991
12/10/2001,,43.3024
12/11/2001,,42.8991
12/12/2001,,42.4599
12/13/2001,,42.6033
12/14/2001,,42.3075
12/17/2001,,43.3473
12/18/2001,,43.0694
12/19/2001,,43.4279
12/20/2001,,43.2666
12/21/2001,,42.2627
12/24/2001,,42.3075
12/25/2001,,42.3075
12/26/2001,,42.3075
12/27/2001,,43.3921
12/28/2001,,43.2666
12/31/2001,,42.5406
1/1/2002,,42.5406
1/2/2002,,43.4638
1/3/2002,,44.9069
1/4/2002,,45.364
1/7/2002,,45.0862
1/8/2002,,44.638000000000005
1/9/2002,,43.8134
1/10/2002,,44.2526
1/11/2002,,44.5484
1/14/2002,,45.0951
1/15/2002,,44.8979
1/16/2002,,44.2346
1/17/2002,,44.6559
1/18/2002,,43.8313
1/21/2002,,43.8313
1/22/2002,,43.2935
1/23/2002,,44.0554
1/24/2002,,43.1142
1/25/2002,,42.8722
1/28/2002,,43.168
1/29/2002,,41.9669
1/30/2002,,41.3036
1/31/2002,,41.5456
2/1/2002,,41.7697
2/4/2002,,40.8733
2/5/2002,,40.3445
2/6/2002,,38.9014
2/7/2002,,39.8874
2/8/2002,,40.5148
2/11/2002,,40.8106
2/12/2002,,40.6313
2/13/2002,,40.6044
2/14/2002,,40.8196
2/15/2002,,40.8823
2/18/2002,,40.8823
2/19/2002,,40.9719
2/20/2002,,41.7787
2/21/2002,,39.8426
2/22/2002,,40.6044
2/25/2002,,41.8504
2/26/2002,,42.1372
2/27/2002,,42.2537
2/28/2002,,41.949
3/1/2002,,43.5534
3/4/2002,,42.9618
3/5/2002,,42.4868
3/6/2002,,43.1052
3/7/2002,,42.6481
3/8/2002,,41.8055
3/11/2002,,42.1462
3/12/2002,,42.5406
3/13/2002,,42.9081
3/14/2002,,42.8901
3/15/2002,,42.7557
3/18/2002,,42.684
3/19/2002,,42.7467
3/20/2002,,43.1232
3/21/2002,,42.1551
3/22/2002,,40.8823
3/25/2002,,40.9271
3/26/2002,,41.196000000000005
3/27/2002,,40.8285
3/28/2002,,41.3215
3/29/2002,,41.3215
4/1/2002,,41.1871
4/2/2002,,40.6941
4/3/2002,,40.7837
4/4/2002,,40.6224
4/5/2002,,40.5148
4/8/2002,,39.6274
4/9/2002,,38.2739
4/10/2002,,39.3496
4/11/2002,,37.4852
4/12/2002,,37.9513
4/15/2002,,37.0908
4/16/2002,,39.0807
4/17/2002,,38.4174
4/18/2002,,38.0499
4/19/2002,,37.6465
4/22/2002,,35.8538
4/23/2002,,35.9793
4/24/2002,,36.6605
4/25/2002,,37.1266
4/26/2002,,36.9294
4/29/2002,,35.0919
4/30/2002,,35.9524
5/1/2002,,37.2342
5/2/2002,,37.1983
5/3/2002,,36.1675
5/6/2002,,35.7373
5/7/2002,,35.4236
5/8/2002,,37.0549
5/9/2002,,35.9883
5/10/2002,,35.2712
5/13/2002,,36.6964
5/14/2002,,37.7899
5/15/2002,,37.8258
5/16/2002,,39.4302
5/17/2002,,38.6683
5/20/2002,,38.005
5/21/2002,,38.5608
5/22/2002,,38.8655
5/23/2002,,39.6005
5/24/2002,,38.991
5/27/2002,,38.991
5/28/2002,,40.0218
5/29/2002,,39.3406
5/30/2002,,39.4302
5/31/2002,,38.5429
6/3/2002,,37.8078
6/4/2002,,37.9602
6/5/2002,,37.781
6/6/2002,,36.7502
6/7/2002,,37.1804
6/10/2002,,37.3597
6/11/2002,,36.3289
6/12/2002,,37.3866
6/13/2002,,37.0639
6/14/2002,,37.028
6/17/2002,,37.53
6/18/2002,,38.005
6/19/2002,,35.6835
6/20/2002,,35.8
6/21/2002,,36.0779
6/24/2002,,35.5849
6/25/2002,,34.6437
6/26/2002,,34.6886
6/27/2002,,35.1636
6/28/2002,,35.9883
7/1/2002,,34.2762
7/2/2002,,33.3172
7/3/2002,,33.6847
7/4/2002,,33.6847
7/5/2002,,34.8589
7/8/2002,,34.5541
7/9/2002,,33.4875
7/10/2002,,32.3581
7/11/2002,,33.7026
7/12/2002,,31.641
7/15/2002,,31.5065
7/16/2002,,31.3721
7/17/2002,,31.6948
7/18/2002,,30.5206
7/19/2002,,29.1312
7/22/2002,,25.6803
7/23/2002,,24.5868
7/24/2002,,24.9632
7/25/2002,,24.7391
7/26/2002,,25.7968
7/29/2002,,27.2758
7/30/2002,,27.0696
7/31/2002,,29.5794
8/1/2002,,28.1094
8/2/2002,,28.6651
8/5/2002,,27.0248
8/6/2002,,26.7738
8/7/2002,,26.4153
8/8/2002,,26.6215
8/9/2002,,27.1144
8/12/2002,,26.98
8/13/2002,,26.3526
8/14/2002,,27.7419
8/15/2002,,27.2937
8/16/2002,,28.4052
8/19/2002,,30.1082
8/20/2002,,28.5038
8/21/2002,,28.9968
8/22/2002,,29.3912
8/23/2002,,28.3604
8/26/2002,,29.0416
8/27/2002,,28.5665
8/28/2002,,27.7509
8/29/2002,,27.6971
8/30/2002,,27.7867
9/2/2002,,27.7867
9/3/2002,,26.3167
9/4/2002,,26.8904
9/5/2002,,26.3705
9/6/2002,,26.738000000000003
9/9/2002,,26.7559
9/10/2002,,27.3744
9/11/2002,,28.4769
9/12/2002,,27.8226
9/13/2002,,27.2041
9/16/2002,,27.7957
9/17/2002,,27.3744
9/18/2002,,27.0517
9/19/2002,,26.3794
9/20/2002,,26.5856
9/23/2002,,26.6304
9/24/2002,,25.7699
9/25/2002,,26.2988
9/26/2002,,26.5856
9/27/2002,,25.1783
9/30/2002,,24.5957
10/1/2002,,26.5139
10/2/2002,,27.2041
10/3/2002,,29.4898
10/4/2002,,30.1172
10/7/2002,,29.0416
10/8/2002,,29.0237
10/9/2002,,28.8175
10/10/2002,,29.5346
10/11/2002,,31.5424
10/14/2002,,31.1121
10/15/2002,,31.4617
10/16/2002,,31.148000000000003
10/17/2002,,32.0533
10/18/2002,,31.3452
10/21/2002,,31.9816
10/22/2002,,33.836999999999996
10/23/2002,,32.9228
10/24/2002,,33.0662
10/25/2002,,32.7793
10/28/2002,,33.7115
10/29/2002,,32.8062
10/30/2002,,34.2762
10/31/2002,,33.846
11/1/2002,,34.59
11/4/2002,,35.1547
11/5/2002,,35.5849
11/6/2002,,34.9575
11/7/2002,,34.1597
11/8/2002,,34.6706
11/11/2002,,33.6219
11/12/2002,,34.4017
11/13/2002,,33.7922
11/14/2002,,34.33
11/15/2002,,35.2353
11/18/2002,,34.6169
11/19/2002,,34.0522
11/20/2002,,35.0023
11/21/2002,,36.4275
11/22/2002,,35.8538
11/25/2002,,36.7502
11/26/2002,,35.7104
11/27/2002,,37.2611
11/28/2002,,37.2611
11/29/2002,,37.5389
12/2/2002,,37.0639
12/3/2002,,36.1496
12/4/2002,,35.7821
12/5/2002,,35.0202
12/6/2002,,36.0241
12/9/2002,,34.33
12/10/2002,,34.3748
12/11/2002,,34.6437
12/12/2002,,34.4197
12/13/2002,,34.6886
12/16/2002,,35.8
12/17/2002,,35.1009
12/18/2002,,35.1816
12/19/2002,,34.7692
12/20/2002,,35.8538
12/23/2002,,35.7642
12/24/2002,,35.4056
12/25/2002,,35.4056
12/26/2002,,35.5759
12/27/2002,,34.8678
12/30/2002,,34.9395
12/31/2002,,34.7334
1/1/2003,,34.7334
1/2/2003,,36.0062
1/3/2003,,36.2572
1/6/2003,,39.5019
1/7/2003,,39.0986
1/8/2003,,36.6695
1/9/2003,,36.2661
1/10/2003,,35.9793
1/13/2003,,36.4364
1/14/2003,,36.9115
1/15/2003,,36.0241
